year,K_prod_mmp
1990,554256.0537646104
1991,570962.0200953177
1992,587753.55393382
1993,604854.503545838
1994,628307.3466140027
1995,661424.0588152432
1996,698476.5213868334
1997,736967.0431073832
1998,777618.1419306048
1999,802702.4680020293
2000,833961.7902742737
2001,861674.3162289073
2002,896497.8772638012
2003,934840.9886922452
2004,974651.6892736328
2005,1020685.139127993
2006,1080433.564838629
2007,1159622.175385646
2008,1226031.64898609
2009,1297258.360891433
2010,1372992.856117014
2011,1459429.301029584
2012,1545410.919027931
2013,1639552.111362246
2014,1743436.881669943
2015,1845687.082303745
2016,1938192.857307458
2017,2031136.702169707
2018,2123264.407834853
2019,2216637.326163576
2020,2260668.139798926
2021,2327405.246993779
2022,2410842.483733814
2023,2460208.894972692
2024,2509369.094000875
