date,year,month,capacity_utilization,source,download_date
2004-01-01,2004,1,71.9587,historical_input://nairu_estimates_v6.csv,2026-05-05
2004-02-01,2004,2,73.8884,historical_input://nairu_estimates_v6.csv,2026-05-05
2004-03-01,2004,3,75.3793,historical_input://nairu_estimates_v6.csv,2026-05-05
2004-04-01,2004,4,74.3597,historical_input://nairu_estimates_v6.csv,2026-05-05
2004-05-01,2004,5,75.2729,historical_input://nairu_estimates_v6.csv,2026-05-05
2004-06-01,2004,6,74.0772,historical_input://nairu_estimates_v6.csv,2026-05-05
2004-07-01,2004,7,76.1045,historical_input://nairu_estimates_v6.csv,2026-05-05
2004-08-01,2004,8,77.7555,historical_input://nairu_estimates_v6.csv,2026-05-05
2004-09-01,2004,9,76.3443,historical_input://nairu_estimates_v6.csv,2026-05-05
2004-10-01,2004,10,76.5552,historical_input://nairu_estimates_v6.csv,2026-05-05
2004-11-01,2004,11,77.5045,historical_input://nairu_estimates_v6.csv,2026-05-05
2004-12-01,2004,12,76.3749,historical_input://nairu_estimates_v6.csv,2026-05-05
2005-01-01,2005,1,75.1531,historical_input://nairu_estimates_v6.csv,2026-05-05
2005-02-01,2005,2,76.2072,historical_input://nairu_estimates_v6.csv,2026-05-05
2005-03-01,2005,3,77.914,historical_input://nairu_estimates_v6.csv,2026-05-05
2005-04-01,2005,4,79.0227,historical_input://nairu_estimates_v6.csv,2026-05-05
2005-05-01,2005,5,79.1059,historical_input://nairu_estimates_v6.csv,2026-05-05
2005-06-01,2005,6,78.6388,historical_input://nairu_estimates_v6.csv,2026-05-05
2005-07-01,2005,7,79.7149,historical_input://nairu_estimates_v6.csv,2026-05-05
2005-08-01,2005,8,80.7768,historical_input://nairu_estimates_v6.csv,2026-05-05
2005-09-01,2005,9,81.4872,historical_input://nairu_estimates_v6.csv,2026-05-05
2005-10-01,2005,10,82.3608,historical_input://nairu_estimates_v6.csv,2026-05-05
2005-11-01,2005,11,80.6302,historical_input://nairu_estimates_v6.csv,2026-05-05
2005-12-01,2005,12,78.1586,historical_input://nairu_estimates_v6.csv,2026-05-05
2006-01-01,2006,1,79.1093,historical_input://nairu_estimates_v6.csv,2026-05-05
2006-02-01,2006,2,79.9166,historical_input://nairu_estimates_v6.csv,2026-05-05
2006-03-01,2006,3,82.3017,historical_input://nairu_estimates_v6.csv,2026-05-05
2006-04-01,2006,4,79.3184,historical_input://nairu_estimates_v6.csv,2026-05-05
2006-05-01,2006,5,81.8158,historical_input://nairu_estimates_v6.csv,2026-05-05
2006-06-01,2006,6,81.1655,historical_input://nairu_estimates_v6.csv,2026-05-05
2006-07-01,2006,7,82.5331,historical_input://nairu_estimates_v6.csv,2026-05-05
2006-08-01,2006,8,81.8768,historical_input://nairu_estimates_v6.csv,2026-05-05
2006-09-01,2006,9,83.2357,historical_input://nairu_estimates_v6.csv,2026-05-05
2006-10-01,2006,10,82.7429,historical_input://nairu_estimates_v6.csv,2026-05-05
2006-11-01,2006,11,85.3008,historical_input://nairu_estimates_v6.csv,2026-05-05
2006-12-01,2006,12,81.5031,historical_input://nairu_estimates_v6.csv,2026-05-05
2007-01-01,2007,1,81.7271,historical_input://nairu_estimates_v6.csv,2026-05-05
2007-02-01,2007,2,79.9672,historical_input://nairu_estimates_v6.csv,2026-05-05
2007-03-01,2007,3,81.2084,historical_input://nairu_estimates_v6.csv,2026-05-05
2007-04-01,2007,4,81.4469,historical_input://nairu_estimates_v6.csv,2026-05-05
2007-05-01,2007,5,82.4551,historical_input://nairu_estimates_v6.csv,2026-05-05
2007-06-01,2007,6,81.5625,historical_input://nairu_estimates_v6.csv,2026-05-05
2007-07-01,2007,7,81.5343,historical_input://nairu_estimates_v6.csv,2026-05-05
2007-08-01,2007,8,82.9161,historical_input://nairu_estimates_v6.csv,2026-05-05
2007-09-01,2007,9,82.6732,historical_input://nairu_estimates_v6.csv,2026-05-05
2007-10-01,2007,10,83.0006,historical_input://nairu_estimates_v6.csv,2026-05-05
2007-11-01,2007,11,82.532,historical_input://nairu_estimates_v6.csv,2026-05-05
2007-12-01,2007,12,80.7926,historical_input://nairu_estimates_v6.csv,2026-05-05
2008-01-01,2008,1,79.115,historical_input://nairu_estimates_v6.csv,2026-05-05
2008-02-01,2008,2,78.63,historical_input://nairu_estimates_v6.csv,2026-05-05
2008-03-01,2008,3,76.7855,historical_input://nairu_estimates_v6.csv,2026-05-05
2008-04-01,2008,4,79.9585,historical_input://nairu_estimates_v6.csv,2026-05-05
2008-05-01,2008,5,79.3786,historical_input://nairu_estimates_v6.csv,2026-05-05
2008-06-01,2008,6,75.7329,historical_input://nairu_estimates_v6.csv,2026-05-05
2008-07-01,2008,7,77.7348,historical_input://nairu_estimates_v6.csv,2026-05-05
2008-08-01,2008,8,77.4249,historical_input://nairu_estimates_v6.csv,2026-05-05
2008-09-01,2008,9,79.5083,historical_input://nairu_estimates_v6.csv,2026-05-05
2008-10-01,2008,10,77.9212,historical_input://nairu_estimates_v6.csv,2026-05-05
2008-11-01,2008,11,76.1577,historical_input://nairu_estimates_v6.csv,2026-05-05
2008-12-01,2008,12,74.6384,historical_input://nairu_estimates_v6.csv,2026-05-05
2009-01-01,2009,1,72.7544,historical_input://nairu_estimates_v6.csv,2026-05-05
2009-02-01,2009,2,73.33,historical_input://nairu_estimates_v6.csv,2026-05-05
2009-03-01,2009,3,74.8885,historical_input://nairu_estimates_v6.csv,2026-05-05
2009-04-01,2009,4,72.894,historical_input://nairu_estimates_v6.csv,2026-05-05
2009-05-01,2009,5,73.1061,historical_input://nairu_estimates_v6.csv,2026-05-05
2009-06-01,2009,6,72.7424,historical_input://nairu_estimates_v6.csv,2026-05-05
2009-07-01,2009,7,73.8099,historical_input://nairu_estimates_v6.csv,2026-05-05
2009-08-01,2009,8,73.6457,historical_input://nairu_estimates_v6.csv,2026-05-05
2009-09-01,2009,9,73.9255,historical_input://nairu_estimates_v6.csv,2026-05-05
2009-10-01,2009,10,75.1994,historical_input://nairu_estimates_v6.csv,2026-05-05
2009-11-01,2009,11,76.3464,historical_input://nairu_estimates_v6.csv,2026-05-05
2009-12-01,2009,12,75.5878,historical_input://nairu_estimates_v6.csv,2026-05-05
2010-01-01,2010,1,72.7384,historical_input://nairu_estimates_v6.csv,2026-05-05
2010-02-01,2010,2,75.2,historical_input://nairu_estimates_v6.csv,2026-05-05
2010-03-01,2010,3,75.5891,historical_input://nairu_estimates_v6.csv,2026-05-05
2010-04-01,2010,4,76.1251,historical_input://nairu_estimates_v6.csv,2026-05-05
2010-05-01,2010,5,77.2,historical_input://nairu_estimates_v6.csv,2026-05-05
2010-06-01,2010,6,76.2,historical_input://nairu_estimates_v6.csv,2026-05-05
2010-07-01,2010,7,75.5,historical_input://nairu_estimates_v6.csv,2026-05-05
2010-08-01,2010,8,77.6,historical_input://nairu_estimates_v6.csv,2026-05-05
2010-09-01,2010,9,77.7,historical_input://nairu_estimates_v6.csv,2026-05-05
2010-10-01,2010,10,78.6,historical_input://nairu_estimates_v6.csv,2026-05-05
2010-11-01,2010,11,75.5,historical_input://nairu_estimates_v6.csv,2026-05-05
2010-12-01,2010,12,76.3,historical_input://nairu_estimates_v6.csv,2026-05-05
2011-01-01,2011,1,75.3,historical_input://nairu_estimates_v6.csv,2026-05-05
2011-02-01,2011,2,76.7,historical_input://nairu_estimates_v6.csv,2026-05-05
2011-03-01,2011,3,77.1,historical_input://nairu_estimates_v6.csv,2026-05-05
2011-04-01,2011,4,75.9,historical_input://nairu_estimates_v6.csv,2026-05-05
2011-05-01,2011,5,78.3,historical_input://nairu_estimates_v6.csv,2026-05-05
2011-06-01,2011,6,77.2,historical_input://nairu_estimates_v6.csv,2026-05-05
2011-07-01,2011,7,76.7,historical_input://nairu_estimates_v6.csv,2026-05-05
2011-08-01,2011,8,78.3,historical_input://nairu_estimates_v6.csv,2026-05-05
2011-09-01,2011,9,78.0,historical_input://nairu_estimates_v6.csv,2026-05-05
2011-10-01,2011,10,79.7,historical_input://nairu_estimates_v6.csv,2026-05-05
2011-11-01,2011,11,76.4,historical_input://nairu_estimates_v6.csv,2026-05-05
2011-12-01,2011,12,75.0,historical_input://nairu_estimates_v6.csv,2026-05-05
2012-01-01,2012,1,75.1,historical_input://nairu_estimates_v6.csv,2026-05-05
2012-02-01,2012,2,77.8,historical_input://nairu_estimates_v6.csv,2026-05-05
2012-03-01,2012,3,76.4,historical_input://nairu_estimates_v6.csv,2026-05-05
2012-04-01,2012,4,75.0,historical_input://nairu_estimates_v6.csv,2026-05-05
2012-05-01,2012,5,76.0,historical_input://nairu_estimates_v6.csv,2026-05-05
2012-06-01,2012,6,77.0,historical_input://nairu_estimates_v6.csv,2026-05-05
2012-07-01,2012,7,78.0,historical_input://nairu_estimates_v6.csv,2026-05-05
2012-08-01,2012,8,77.9,historical_input://nairu_estimates_v6.csv,2026-05-05
2012-09-01,2012,9,78.0,historical_input://nairu_estimates_v6.csv,2026-05-05
2012-10-01,2012,10,78.9,historical_input://nairu_estimates_v6.csv,2026-05-05
2012-11-01,2012,11,78.4,historical_input://nairu_estimates_v6.csv,2026-05-05
2012-12-01,2012,12,76.7,historical_input://nairu_estimates_v6.csv,2026-05-05
2013-01-01,2013,1,74.9,historical_input://nairu_estimates_v6.csv,2026-05-05
2013-02-01,2013,2,73.7,historical_input://nairu_estimates_v6.csv,2026-05-05
