date,year,quarter,gdp_observed,source,download_date
2005-01-01,2005,1,125997.4955,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2005-04-01,2005,2,129111.1804,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2005-07-01,2005,3,128696.2283,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2005-10-01,2005,4,131048.0958,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2006-01-01,2006,1,134111.6696,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2006-04-01,2006,2,135947.4433,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2006-07-01,2006,3,138590.7887,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2006-10-01,2006,4,140785.0983,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2007-01-01,2007,1,143227.8113,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2007-04-01,2007,2,145127.5639,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2007-07-01,2007,3,148141.4186,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2007-10-01,2007,4,149960.2061,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2008-01-01,2008,1,150594.8869,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2008-04-01,2008,2,151691.3942,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2008-07-01,2008,3,153001.155,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2008-10-01,2008,4,150425.5639,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2009-01-01,2009,1,150827.7756,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2009-04-01,2009,2,152493.2533,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2009-07-01,2009,3,154049.9587,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2009-10-01,2009,4,155245.0124,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2010-01-01,2010,1,156686.9061,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2010-04-01,2010,2,159244.8765,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2010-07-01,2010,3,160424.5984,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2010-10-01,2010,4,163794.619,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2011-01-01,2011,1,167223.0681,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2011-04-01,2011,2,169810.3032,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2011-07-01,2011,3,173255.1511,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2011-10-01,2011,4,174339.4776,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2012-01-01,2012,1,177267.9611,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2012-04-01,2012,2,177875.4556,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2012-07-01,2012,3,177019.5441,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2012-10-01,2012,4,179252.0392,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2013-01-01,2013,1,181471.8698,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2013-04-01,2013,2,187576.3127,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2013-07-01,2013,3,188086.5846,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2013-10-01,2013,4,190804.2329,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2014-01-01,2014,1,193552.9298,DANE - Cuentas Nacionales Trimestrales,2026-05-05
