date,year,quarter,investment,source,download_date
2005-01-01,2005,1,22668.9192,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2005-04-01,2005,2,20700.4437,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2005-07-01,2005,3,20516.134,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2005-10-01,2005,4,22052.5031,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2006-01-01,2006,1,24305.069,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2006-04-01,2006,2,24242.7271,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2006-07-01,2006,3,25813.9278,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2006-10-01,2006,4,27708.2761,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2007-01-01,2007,1,30799.0404,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2007-04-01,2007,2,30347.5865,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2007-07-01,2007,3,30623.9544,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2007-10-01,2007,4,30602.4188,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2008-01-01,2008,1,29471.326,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2008-04-01,2008,2,29975.4035,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2008-07-01,2008,3,29740.7185,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2008-10-01,2008,4,29862.552,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2009-01-01,2009,1,30831.7633,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2009-04-01,2009,2,31068.5498,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2009-07-01,2009,3,31662.8612,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2009-10-01,2009,4,30790.8257,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2010-01-01,2010,1,31639.1747,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2010-04-01,2010,2,33249.956,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2010-07-01,2010,3,33078.0732,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2010-10-01,2010,4,35221.7962,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2011-01-01,2011,1,35971.409,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2011-04-01,2011,2,36518.5402,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2011-07-01,2011,3,38281.2484,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2011-10-01,2011,4,38682.8024,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2012-01-01,2012,1,37578.4126,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2012-04-01,2012,2,39090.0018,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2012-07-01,2012,3,39062.7841,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2012-10-01,2012,4,38705.8016,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2013-01-01,2013,1,41252.0415,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2013-04-01,2013,2,41116.856,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2013-07-01,2013,3,40616.6428,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2013-10-01,2013,4,44547.4597,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2014-01-01,2014,1,44714.0958,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2014-04-01,2014,2,45221.4103,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2014-07-01,2014,3,46302.8482,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2014-10-01,2014,4,46718.6456,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2015-01-01,2015,1,47051.5396,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2015-04-01,2015,2,47671.5403,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2015-07-01,2015,3,47921.1386,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
2015-10-01,2015,4,45450.7815,DANE - Cuentas Nacionales Trimestrales (Gasto),2026-06-09
