date,year,quarter,compensation_employees,gross_operating_surplus,mixed_income,source,download_date
2016-01-01,2016,1,67832.0,68248.0,40309.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2016-04-01,2016,2,70403.0,72420.0,42141.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2016-07-01,2016,3,72793.0,76584.0,46750.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2016-10-01,2016,4,80533.0,80428.0,46573.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2017-01-01,2017,1,73150.0,72413.0,42519.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2017-04-01,2017,2,75265.0,77345.0,44089.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2017-07-01,2017,3,78469.0,80551.0,47706.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2017-10-01,2017,4,85534.0,85747.0,48505.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2018-01-01,2018,1,78101.0,75527.0,44409.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2018-04-01,2018,2,81696.0,84630.0,46718.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2018-07-01,2018,3,84766.0,88527.0,51197.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2018-10-01,2018,4,91554.0,93054.0,49519.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2019-01-01,2019,1,84328.0,81604.0,45835.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2019-04-01,2019,2,88889.0,89941.0,48712.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2019-07-01,2019,3,92600.0,93101.0,53392.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2019-10-01,2019,4,99239.0,97404.0,55358.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2020-01-01,2020,1,87290.0,81950.0,50744.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2020-04-01,2020,2,93090.0,65203.0,35739.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2020-07-01,2020,3,88687.0,83909.0,50105.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2020-10-01,2020,4,103421.0,88411.0,57313.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2021-01-01,2021,1,90056.0,88351.0,55772.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2021-04-01,2021,2,102305.0,91666.0,48350.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2021-07-01,2021,3,100424.0,104983.0,64954.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2021-10-01,2021,4,113103.0,120230.0,68117.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2022-01-01,2022,1,100446.0,108871.0,71711.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2022-04-01,2022,2,119006.0,127727.0,68748.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2022-07-01,2022,3,113846.0,131143.0,90890.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2022-10-01,2022,4,126395.0,141215.0,83316.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2023-01-01,2023,1,112870.0,126664.0,81998.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2023-04-01,2023,2,135546.0,130788.0,73819.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2023-07-01,2023,3,129082.0,131649.0,91088.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2023-10-01,2023,4,146332.0,138743.0,87263.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2024-01-01,2024,1,127487.0,124779.0,83034.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2024-04-01,2024,2,147357.0,134192.0,85774.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2024-07-01,2024,3,140599.0,139171.0,104184.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2024-10-01,2024,4,161840.0,146855.0,105774.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2025-01-01,2025,1,137702.0,132828.0,97634.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2025-04-01,2025,2,161424.0,138843.0,94048.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2025-07-01,2025,3,156835.0,145239.0,115143.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
2025-10-01,2025,4,176309.0,151287.0,110558.0,DANE - Cuentas Nacionales Trimestrales (Ingreso),2026-06-09
