date,year,month,informality_rate_13c,source,download_date
2021-03-01,2021,3,45.9122,DANE GEIH-EISS,2026-06-09
2021-04-01,2021,4,46.3571,DANE GEIH-EISS,2026-06-09
2021-05-01,2021,5,45.5177,DANE GEIH-EISS,2026-06-09
2021-06-01,2021,6,45.2545,DANE GEIH-EISS,2026-06-09
2021-07-01,2021,7,44.5419,DANE GEIH-EISS,2026-06-09
2021-08-01,2021,8,44.9816,DANE GEIH-EISS,2026-06-09
2021-09-01,2021,9,44.4975,DANE GEIH-EISS,2026-06-09
2021-10-01,2021,10,44.943,DANE GEIH-EISS,2026-06-09
2021-11-01,2021,11,44.3125,DANE GEIH-EISS,2026-06-09
2021-12-01,2021,12,44.2174,DANE GEIH-EISS,2026-06-09
2022-01-01,2022,1,43.2369,DANE GEIH-EISS,2026-06-09
2022-02-01,2022,2,43.1318,DANE GEIH-EISS,2026-06-09
2022-03-01,2022,3,43.4678,DANE GEIH-EISS,2026-06-09
2022-04-01,2022,4,44.1817,DANE GEIH-EISS,2026-06-09
2022-05-01,2022,5,44.1055,DANE GEIH-EISS,2026-06-09
2022-06-01,2022,6,43.9712,DANE GEIH-EISS,2026-06-09
2022-07-01,2022,7,43.86,DANE GEIH-EISS,2026-06-09
2022-08-01,2022,8,43.4303,DANE GEIH-EISS,2026-06-09
2022-09-01,2022,9,43.6684,DANE GEIH-EISS,2026-06-09
2022-10-01,2022,10,43.7592,DANE GEIH-EISS,2026-06-09
2022-11-01,2022,11,43.5317,DANE GEIH-EISS,2026-06-09
2022-12-01,2022,12,42.714,DANE GEIH-EISS,2026-06-09
2023-01-01,2023,1,42.0143,DANE GEIH-EISS,2026-06-09
2023-02-01,2023,2,42.5477,DANE GEIH-EISS,2026-06-09
2023-03-01,2023,3,42.7789,DANE GEIH-EISS,2026-06-09
2023-04-01,2023,4,42.3762,DANE GEIH-EISS,2026-06-09
2023-05-01,2023,5,41.8293,DANE GEIH-EISS,2026-06-09
2023-06-01,2023,6,41.2369,DANE GEIH-EISS,2026-06-09
2023-07-01,2023,7,41.5168,DANE GEIH-EISS,2026-06-09
2023-08-01,2023,8,41.357,DANE GEIH-EISS,2026-06-09
2023-09-01,2023,9,41.3871,DANE GEIH-EISS,2026-06-09
2023-10-01,2023,10,41.3627,DANE GEIH-EISS,2026-06-09
2023-11-01,2023,11,41.4313,DANE GEIH-EISS,2026-06-09
2023-12-01,2023,12,41.4837,DANE GEIH-EISS,2026-06-09
2024-01-01,2024,1,41.1743,DANE GEIH-EISS,2026-06-09
2024-02-01,2024,2,41.5328,DANE GEIH-EISS,2026-06-09
2024-03-01,2024,3,41.3781,DANE GEIH-EISS,2026-06-09
2024-04-01,2024,4,41.5959,DANE GEIH-EISS,2026-06-09
2024-05-01,2024,5,41.4803,DANE GEIH-EISS,2026-06-09
2024-06-01,2024,6,41.6273,DANE GEIH-EISS,2026-06-09
2024-07-01,2024,7,41.8716,DANE GEIH-EISS,2026-06-09
2024-08-01,2024,8,41.8234,DANE GEIH-EISS,2026-06-09
2024-09-01,2024,9,41.9944,DANE GEIH-EISS,2026-06-09
2024-10-01,2024,10,42.4618,DANE GEIH-EISS,2026-06-09
2024-11-01,2024,11,42.4306,DANE GEIH-EISS,2026-06-09
2024-12-01,2024,12,42.4738,DANE GEIH-EISS,2026-06-09
2025-01-01,2025,1,42.1,DANE GEIH-EISS,2026-06-09
2025-02-01,2025,2,42.5985,DANE GEIH-EISS,2026-06-09
2025-03-01,2025,3,43.1401,DANE GEIH-EISS,2026-06-09
2025-04-01,2025,4,42.5337,DANE GEIH-EISS,2026-06-09
2025-05-01,2025,5,42.287,DANE GEIH-EISS,2026-06-09
2025-06-01,2025,6,41.6982,DANE GEIH-EISS,2026-06-09
2025-07-01,2025,7,41.9833,DANE GEIH-EISS,2026-06-09
2025-08-01,2025,8,41.9158,DANE GEIH-EISS,2026-06-09
2025-09-01,2025,9,41.6114,DANE GEIH-EISS,2026-06-09
2025-10-01,2025,10,42.4542,DANE GEIH-EISS,2026-06-09
2025-11-01,2025,11,42.2683,DANE GEIH-EISS,2026-06-09
2025-12-01,2025,12,42.2973,DANE GEIH-EISS,2026-06-09
2026-01-01,2026,1,41.0347,DANE GEIH-EISS,2026-06-09
2026-02-01,2026,2,41.0826,DANE GEIH-EISS,2026-06-09
2026-03-01,2026,3,40.9903,DANE GEIH-EISS,2026-06-09
