date,year,month,unemployment_rate,tgp_rate,occupied_thousands,unemployed_thousands,inactive_thousands,pet_thousands,source,download_date
2001-01-01,2001,1,14.058186691223943,68.90954970749983,15492.9,2534.3,8133.5,26160.7,DANE,2026-08-01
2001-02-01,2001,2,15.957443788359518,68.8591488753784,15191.5,2884.5,8174.6,26250.6,DANE,2026-08-01
2001-03-01,2001,3,16.578537279158727,68.62458380691191,15064.4,2993.8,8256.3,26314.5,DANE,2026-08-01
2001-04-01,2001,4,13.81625829434014,65.39277155471741,14886.1,2386.4,9141.0,26413.5,DANE,2026-08-01
2001-05-01,2001,5,14.719231027168483,65.88282817803034,14921.8,2575.5,9060.9,26558.2,DANE,2026-08-01
2001-06-01,2001,6,15.042393270679222,67.38780589029571,15126.7,2678.3,8616.7,26421.7,DANE,2026-08-01
2001-07-01,2001,7,15.158405514925356,67.05946071932411,15063.2,2691.3,8721.2,26475.7,DANE,2026-08-01
2001-08-01,2001,8,14.83782459966722,67.69727773369303,15285.1,2663.1,8564.2,26512.4,DANE,2026-08-01
2001-09-01,2001,9,14.778506010087423,68.3074018754296,15451.9,2679.6,8412.4,26543.9,DANE,2026-08-01
2001-10-01,2001,10,15.179400941251666,67.54245252008008,15241.5,2727.6,8635.0,26604.1,DANE,2026-08-01
2001-11-01,2001,11,14.807290351079025,68.6104991994136,15564.9,2705.3,8358.7,26628.9,DANE,2026-08-01
2001-12-01,2001,12,14.728136447666978,68.61427449459262,15558.4,2687.2,8346.0,26591.6,DANE,2026-08-01
2002-01-01,2002,1,15.177093778900566,68.17835512100912,15374.3,2750.9,8459.8,26585.0,DANE,2026-08-01
2002-02-01,2002,2,14.770933871140937,68.15290690244373,15530.8,2691.6,8515.1,26737.5,DANE,2026-08-01
2002-03-01,2002,3,15.812134017342604,67.37477823454779,15191.7,2853.3,8738.0,26783.0,DANE,2026-08-01
2002-04-01,2002,4,15.376781592556284,69.0304584101959,15695.3,2852.0,8321.0,26868.3,DANE,2026-08-01
2002-05-01,2002,5,15.632988107922849,67.12538808811422,15307.1,2836.4,8885.7,27029.2,DANE,2026-08-01
2002-06-01,2002,6,15.669795085548333,67.6255588449493,15339.2,2850.3,8707.9,26897.4,DANE,2026-08-01
2002-07-01,2002,7,15.393672131430284,67.65084844914607,15419.5,2805.5,8714.8,26939.8,DANE,2026-08-01
2002-08-01,2002,8,15.860086767984201,66.8189874148441,15163.5,2858.3,8949.3,26971.1,DANE,2026-08-01
2002-09-01,2002,9,15.138562290202923,66.67983594155095,15286.4,2727.0,9001.3,27014.7,DANE,2026-08-01
2002-10-01,2002,10,15.72698569956818,67.66712330527092,15444.7,2882.3,8757.1,27084.1,DANE,2026-08-01
2002-11-01,2002,11,16.429029934506794,67.4044739022698,15295.7,3006.9,8850.8,27153.4,DANE,2026-08-01
2002-12-01,2002,12,16.67545616400995,66.83613761606044,15105.6,3023.0,8995.4,27124.0,DANE,2026-08-01
2003-01-01,2003,1,13.73773099313586,67.3295222537072,15754.7,2509.0,8862.2,27125.9,DANE,2026-08-01
2003-02-01,2003,2,14.418736699276632,67.78429250995978,15793.9,2661.0,8771.0,27225.9,DANE,2026-08-01
2003-03-01,2003,3,13.676287416123213,68.06005994775812,16023.0,2538.5,8710.7,27272.2,DANE,2026-08-01
2003-04-01,2003,4,14.442451141644689,67.72804301677114,15848.9,2675.3,8826.7,27350.9,DANE,2026-08-01
2003-05-01,2003,5,13.201754796013754,68.59828258064445,16368.5,2489.6,8632.6,27490.7,DANE,2026-08-01
2003-06-01,2003,6,13.977156506985095,67.55556101975021,15924.7,2587.5,8890.7,27402.9,DANE,2026-08-01
2003-07-01,2003,7,14.498205036141155,67.67402996968387,15875.7,2692.0,8869.3,27437.0,DANE,2026-08-01
2003-08-01,2003,8,14.282064317028063,68.94891710620273,16213.8,2701.5,8518.5,27433.8,DANE,2026-08-01
2003-09-01,2003,9,14.817668030598236,68.89341681267719,16141.4,2807.8,8555.9,27505.1,DANE,2026-08-01
2003-10-01,2003,10,14.406167902979519,68.80357790303441,16229.9,2731.6,8597.4,27558.9,DANE,2026-08-01
2003-11-01,2003,11,13.781527553743759,68.2100678515029,16235.7,2595.2,8776.3,27607.2,DANE,2026-08-01
2003-12-01,2003,12,13.612077172158985,68.26103786749508,16270.0,2563.6,8757.0,27590.6,DANE,2026-08-01
2004-01-01,2004,1,14.666317390669237,68.12419974774507,16035.9,2756.1,8792.9,27584.9,DANE,2026-08-01
2004-02-01,2004,2,14.348300630054414,67.34227985227635,15987.0,2678.1,9051.7,27716.8,DANE,2026-08-01
2004-03-01,2004,3,14.040391078493178,67.64880022644675,16156.5,2639.0,8988.4,27783.9,DANE,2026-08-01
2004-04-01,2004,4,14.284990747176638,67.14640265186748,16022.5,2670.3,9146.1,27838.9,DANE,2026-08-01
2004-05-01,2004,5,14.094553827166974,67.24573502816759,16149.9,2649.7,9157.0,27956.6,DANE,2026-08-01
2004-06-01,2004,6,14.09792277736231,66.71681142280221,15982.7,2623.0,9281.9,27887.6,DANE,2026-08-01
2004-07-01,2004,7,12.883891543620042,66.7277273097857,16241.1,2401.9,9295.9,27938.9,DANE,2026-08-01
2004-08-01,2004,8,13.013340039532117,66.5053600070639,16130.9,2413.2,9339.5,27883.6,DANE,2026-08-01
2004-09-01,2004,9,12.675504713928182,66.12350290192191,16161.2,2345.9,9481.6,27988.7,DANE,2026-08-01
2004-10-01,2004,10,13.326564304067833,65.83537111701253,16033.9,2465.3,9600.0,28099.2,DANE,2026-08-01
2004-11-01,2004,11,13.039156039894047,66.51607903521838,16268.1,2439.3,9417.2,28124.6,DANE,2026-08-01
2004-12-01,2004,12,12.971131899505872,65.79240240295363,16111.3,2401.3,9625.3,28137.9,DANE,2026-08-01
2005-01-01,2005,1,11.18753972383242,65.9933845267502,16546.6,2084.3,9600.6,28231.5,DANE,2026-08-01
2005-02-01,2005,2,12.795288638833949,65.97008892914094,16249.3,2384.2,9611.9,28245.4,DANE,2026-08-01
2005-03-01,2005,3,13.299485259891597,65.74536238850655,16125.0,2473.5,9690.2,28288.7,DANE,2026-08-01
2005-04-01,2005,4,11.782209638248123,65.66677014339173,16427.0,2194.0,9735.8,28356.8,DANE,2026-08-01
2005-05-01,2005,5,12.57312285993732,66.13064660467425,16432.5,2363.2,9626.4,28422.1,DANE,2026-08-01
2005-06-01,2005,6,11.612482679457612,65.86648163035467,16524.1,2171.0,9688.2,28383.3,DANE,2026-08-01
2005-07-01,2005,7,11.935661487109453,66.45803830554286,16654.2,2257.2,9544.7,28456.1,DANE,2026-08-01
2005-08-01,2005,8,11.66222995006543,65.77499708505792,16471.4,2174.5,9702.1,28348.0,DANE,2026-08-01
2005-09-01,2005,9,11.574631237941608,65.85023641771643,16586.7,2171.1,9727.8,28485.6,DANE,2026-08-01
2005-10-01,2005,10,10.89849397463419,65.8935205869197,16801.2,2055.1,9760.0,28616.3,DANE,2026-08-01
2005-11-01,2005,11,11.393188472043999,65.5277404005726,16613.8,2136.2,9863.9,28613.9,DANE,2026-08-01
2005-12-01,2005,12,11.111060861540887,66.55990082600904,16963.6,2120.4,9587.9,28671.9,DANE,2026-08-01
2006-01-01,2006,1,11.246116460326471,66.06107578840464,16849.9,2135.1,9753.6,28738.6,DANE,2026-08-01
2006-02-01,2006,2,11.849231565043851,65.62417407569833,16636.6,2236.3,9886.2,28759.1,DANE,2026-08-01
2006-03-01,2006,3,11.488937608840885,66.19915099262325,16866.4,2189.3,9729.7,28785.4,DANE,2026-08-01
2006-04-01,2006,4,11.90056446245899,64.42211539986236,16384.3,2213.2,10270.7,28868.2,DANE,2026-08-01
2006-05-01,2006,5,11.852856376683118,65.05058644941782,16567.4,2227.8,10098.0,28893.2,DANE,2026-08-01
2006-06-01,2006,6,10.59776802964404,66.97270118843996,17301.7,2051.0,9543.7,28896.4,DANE,2026-08-01
2006-09-01,2006,9,13.114594388792412,63.05773393793213,15880.9,2397.1,10708.1,28986.1,DANE,2026-08-01
2006-10-01,2006,10,12.6307205711741,61.67017296024939,15784.5,2281.9,11228.8,29295.2,DANE,2026-08-01
2006-11-01,2006,11,12.225574311914045,62.27847701360023,15951.6,2221.8,11007.5,29180.9,DANE,2026-08-01
2006-12-01,2006,12,12.81763465166702,62.52355808998966,15962.6,2346.8,10974.6,29284.0,DANE,2026-08-01
2007-01-01,2007,1,11.985675966804116,62.689196504675536,16129.7,2196.5,10907.2,29233.4,DANE,2026-08-01
2007-02-01,2007,2,11.7001851794224,63.74425671150314,16486.9,2184.6,10619.8,29291.3,DANE,2026-08-01
2007-03-01,2007,3,12.054767016955434,62.706689737397284,16172.4,2216.8,10936.5,29325.7,DANE,2026-08-01
2007-04-01,2007,4,10.718930609618797,64.09493979363344,16828.1,2020.4,10558.6,29407.1,DANE,2026-08-01
2007-05-01,2007,5,11.69972252475439,63.46977216669123,16488.1,2184.7,10747.2,29420.0,DANE,2026-08-01
