date,year,month,Inf_Goal,Inf_Rate,Core_Inf,source,download_date
1955-07-01,1955,7,,-0.87,,BANREP_SUAMECA,2026-03-25
1955-08-01,1955,8,,-0.01,,BANREP_SUAMECA,2026-03-25
1955-09-01,1955,9,,0.84,,BANREP_SUAMECA,2026-03-25
1955-10-01,1955,10,,0.77,,BANREP_SUAMECA,2026-03-25
1955-11-01,1955,11,,1.44,,BANREP_SUAMECA,2026-03-25
1955-12-01,1955,12,,2.03,,BANREP_SUAMECA,2026-03-25
1956-01-01,1956,1,,2.1,,BANREP_SUAMECA,2026-03-25
1956-02-01,1956,2,,2.57,,BANREP_SUAMECA,2026-03-25
1956-03-01,1956,3,,3.1,,BANREP_SUAMECA,2026-03-25
1956-04-01,1956,4,,3.04,,BANREP_SUAMECA,2026-03-25
1956-05-01,1956,5,,4.25,,BANREP_SUAMECA,2026-03-25
1956-06-01,1956,6,,5.28,,BANREP_SUAMECA,2026-03-25
1956-07-01,1956,7,,6.36,,BANREP_SUAMECA,2026-03-25
1956-08-01,1956,8,,5.76,,BANREP_SUAMECA,2026-03-25
1956-09-01,1956,9,,7.26,,BANREP_SUAMECA,2026-03-25
1956-10-01,1956,10,,8.31,,BANREP_SUAMECA,2026-03-25
1956-11-01,1956,11,,8.83,,BANREP_SUAMECA,2026-03-25
1956-12-01,1956,12,,7.91,,BANREP_SUAMECA,2026-03-25
1957-01-01,1957,1,,9.3,,BANREP_SUAMECA,2026-03-25
1957-02-01,1957,2,,10.3,,BANREP_SUAMECA,2026-03-25
1957-03-01,1957,3,,11.21,,BANREP_SUAMECA,2026-03-25
1957-04-01,1957,4,,12.97,,BANREP_SUAMECA,2026-03-25
1957-05-01,1957,5,,13.58,,BANREP_SUAMECA,2026-03-25
1957-06-01,1957,6,,17.15,,BANREP_SUAMECA,2026-03-25
1957-07-01,1957,7,,19.39,,BANREP_SUAMECA,2026-03-25
1957-08-01,1957,8,,21.43,,BANREP_SUAMECA,2026-03-25
1957-09-01,1957,9,,20.93,,BANREP_SUAMECA,2026-03-25
1957-10-01,1957,10,,21.17,,BANREP_SUAMECA,2026-03-25
1957-11-01,1957,11,,19.84,,BANREP_SUAMECA,2026-03-25
1957-12-01,1957,12,,20.69,,BANREP_SUAMECA,2026-03-25
1958-01-01,1958,1,,19.46,,BANREP_SUAMECA,2026-03-25
1958-02-01,1958,2,,18.05,,BANREP_SUAMECA,2026-03-25
1958-03-01,1958,3,,17.86,,BANREP_SUAMECA,2026-03-25
1958-04-01,1958,4,,17.24,,BANREP_SUAMECA,2026-03-25
1958-05-01,1958,5,,18.06,,BANREP_SUAMECA,2026-03-25
1958-06-01,1958,6,,13.9,,BANREP_SUAMECA,2026-03-25
1958-07-01,1958,7,,10.99,,BANREP_SUAMECA,2026-03-25
1958-08-01,1958,8,,10.47,,BANREP_SUAMECA,2026-03-25
1958-09-01,1958,9,,10.14,,BANREP_SUAMECA,2026-03-25
1958-10-01,1958,10,,8.92,,BANREP_SUAMECA,2026-03-25
1958-11-01,1958,11,,8.54,,BANREP_SUAMECA,2026-03-25
1958-12-01,1958,12,,7.98,,BANREP_SUAMECA,2026-03-25
1959-01-01,1959,1,,9.47,,BANREP_SUAMECA,2026-03-25
1959-02-01,1959,2,,10.34,,BANREP_SUAMECA,2026-03-25
1959-03-01,1959,3,,9.09,,BANREP_SUAMECA,2026-03-25
1959-04-01,1959,4,,8.96,,BANREP_SUAMECA,2026-03-25
1959-05-01,1959,5,,7.62,,BANREP_SUAMECA,2026-03-25
1959-06-01,1959,6,,7.87,,BANREP_SUAMECA,2026-03-25
1959-07-01,1959,7,,8.41,,BANREP_SUAMECA,2026-03-25
1959-08-01,1959,8,,7.78,,BANREP_SUAMECA,2026-03-25
1959-09-01,1959,9,,7.23,,BANREP_SUAMECA,2026-03-25
1959-10-01,1959,10,,7.14,,BANREP_SUAMECA,2026-03-25
1959-11-01,1959,11,,7.42,,BANREP_SUAMECA,2026-03-25
1959-12-01,1959,12,,7.81,,BANREP_SUAMECA,2026-03-25
1960-01-01,1960,1,,6.52,,BANREP_SUAMECA,2026-03-25
1960-02-01,1960,2,,5.24,,BANREP_SUAMECA,2026-03-25
1960-03-01,1960,3,,6.14,,BANREP_SUAMECA,2026-03-25
1960-04-01,1960,4,,5.49,,BANREP_SUAMECA,2026-03-25
1960-05-01,1960,5,,5.52,,BANREP_SUAMECA,2026-03-25
1960-06-01,1960,6,,4.93,,BANREP_SUAMECA,2026-03-25
1960-07-01,1960,7,,4.79,,BANREP_SUAMECA,2026-03-25
1960-08-01,1960,8,,4.96,,BANREP_SUAMECA,2026-03-25
1960-09-01,1960,9,,5.57,,BANREP_SUAMECA,2026-03-25
1960-10-01,1960,10,,6.12,,BANREP_SUAMECA,2026-03-25
1960-11-01,1960,11,,7.13,,BANREP_SUAMECA,2026-03-25
1960-12-01,1960,12,,7.35,,BANREP_SUAMECA,2026-03-25
1961-01-01,1961,1,,7.59,,BANREP_SUAMECA,2026-03-25
1961-02-01,1961,2,,8.36,,BANREP_SUAMECA,2026-03-25
1961-03-01,1961,3,,8.7,,BANREP_SUAMECA,2026-03-25
1961-04-01,1961,4,,9.87,,BANREP_SUAMECA,2026-03-25
1961-05-01,1961,5,,10.23,,BANREP_SUAMECA,2026-03-25
1961-06-01,1961,6,,10.27,,BANREP_SUAMECA,2026-03-25
1961-07-01,1961,7,,10.03,,BANREP_SUAMECA,2026-03-25
1961-08-01,1961,8,,8.4,,BANREP_SUAMECA,2026-03-25
1961-09-01,1961,9,,7.47,,BANREP_SUAMECA,2026-03-25
1961-10-01,1961,10,,6.81,,BANREP_SUAMECA,2026-03-25
1961-11-01,1961,11,,6.13,,BANREP_SUAMECA,2026-03-25
1961-12-01,1961,12,,5.74,,BANREP_SUAMECA,2026-03-25
1962-01-01,1962,1,,5.63,,BANREP_SUAMECA,2026-03-25
1962-02-01,1962,2,,5.29,,BANREP_SUAMECA,2026-03-25
1962-03-01,1962,3,,4.54,,BANREP_SUAMECA,2026-03-25
1962-04-01,1962,4,,3.66,,BANREP_SUAMECA,2026-03-25
1962-05-01,1962,5,,2.63,,BANREP_SUAMECA,2026-03-25
1962-06-01,1962,6,,2.57,,BANREP_SUAMECA,2026-03-25
1962-07-01,1962,7,,3.3,,BANREP_SUAMECA,2026-03-25
1962-08-01,1962,8,,4.55,,BANREP_SUAMECA,2026-03-25
1962-09-01,1962,9,,5.85,,BANREP_SUAMECA,2026-03-25
1962-10-01,1962,10,,6.01,,BANREP_SUAMECA,2026-03-25
1962-11-01,1962,11,,6.15,,BANREP_SUAMECA,2026-03-25
1962-12-01,1962,12,,6.3,,BANREP_SUAMECA,2026-03-25
1963-01-01,1963,1,,9.79,,BANREP_SUAMECA,2026-03-25
1963-02-01,1963,2,,16.34,,BANREP_SUAMECA,2026-03-25
1963-03-01,1963,3,,21.29,,BANREP_SUAMECA,2026-03-25
1963-04-01,1963,4,,25.08,,BANREP_SUAMECA,2026-03-25
1963-05-01,1963,5,,26.52,,BANREP_SUAMECA,2026-03-25
1963-06-01,1963,6,,29.24,,BANREP_SUAMECA,2026-03-25
1963-07-01,1963,7,,28.99,,BANREP_SUAMECA,2026-03-25
1963-08-01,1963,8,,29.28,,BANREP_SUAMECA,2026-03-25
1963-09-01,1963,9,,29.83,,BANREP_SUAMECA,2026-03-25
1963-10-01,1963,10,,31.55,,BANREP_SUAMECA,2026-03-25
1963-11-01,1963,11,,33.44,,BANREP_SUAMECA,2026-03-25
