date,year,month,ipc_index,source,download_date
2003-01-01,2003,1,50.42,DANE,2026-03-18
2003-02-01,2003,2,50.98,DANE,2026-03-18
2003-03-01,2003,3,51.51,DANE,2026-03-18
2003-04-01,2003,4,52.1,DANE,2026-03-18
2003-05-01,2003,5,52.36,DANE,2026-03-18
2003-06-01,2003,6,52.33,DANE,2026-03-18
2003-07-01,2003,7,52.26,DANE,2026-03-18
2003-08-01,2003,8,52.42,DANE,2026-03-18
2003-09-01,2003,9,52.53,DANE,2026-03-18
2003-10-01,2003,10,52.56,DANE,2026-03-18
2003-11-01,2003,11,52.75,DANE,2026-03-18
2003-12-01,2003,12,53.07,DANE,2026-03-18
2004-01-01,2004,1,53.54,DANE,2026-03-18
2004-02-01,2004,2,54.18,DANE,2026-03-18
2004-03-01,2004,3,54.71,DANE,2026-03-18
2004-04-01,2004,4,54.96,DANE,2026-03-18
2004-05-01,2004,5,55.17,DANE,2026-03-18
2004-06-01,2004,6,55.51,DANE,2026-03-18
2004-07-01,2004,7,55.49,DANE,2026-03-18
2004-08-01,2004,8,55.51,DANE,2026-03-18
2004-09-01,2004,9,55.67,DANE,2026-03-18
2004-10-01,2004,10,55.66,DANE,2026-03-18
2004-11-01,2004,11,55.82,DANE,2026-03-18
2004-12-01,2004,12,55.99,DANE,2026-03-18
2005-01-01,2005,1,56.45,DANE,2026-03-18
2005-02-01,2005,2,57.02,DANE,2026-03-18
2005-03-01,2005,3,57.46,DANE,2026-03-18
2005-04-01,2005,4,57.72,DANE,2026-03-18
2005-05-01,2005,5,57.95,DANE,2026-03-18
2005-06-01,2005,6,58.18,DANE,2026-03-18
2005-07-01,2005,7,58.21,DANE,2026-03-18
2005-08-01,2005,8,58.21,DANE,2026-03-18
2005-09-01,2005,9,58.46,DANE,2026-03-18
2005-10-01,2005,10,58.6,DANE,2026-03-18
2005-11-01,2005,11,58.66,DANE,2026-03-18
2005-12-01,2005,12,58.7,DANE,2026-03-18
2006-01-01,2006,1,59.02,DANE,2026-03-18
2006-02-01,2006,2,59.41,DANE,2026-03-18
2006-03-01,2006,3,59.83,DANE,2026-03-18
2006-04-01,2006,4,60.09,DANE,2026-03-18
2006-05-01,2006,5,60.29,DANE,2026-03-18
2006-06-01,2006,6,60.48,DANE,2026-03-18
2006-07-01,2006,7,60.73,DANE,2026-03-18
2006-08-01,2006,8,60.96,DANE,2026-03-18
2006-09-01,2006,9,61.14,DANE,2026-03-18
2006-10-01,2006,10,61.05,DANE,2026-03-18
2006-11-01,2006,11,61.19,DANE,2026-03-18
2006-12-01,2006,12,61.33,DANE,2026-03-18
2007-01-01,2007,1,61.8,DANE,2026-03-18
2007-02-01,2007,2,62.53,DANE,2026-03-18
2007-03-01,2007,3,63.29,DANE,2026-03-18
2007-04-01,2007,4,63.85,DANE,2026-03-18
2007-05-01,2007,5,64.05,DANE,2026-03-18
2007-06-01,2007,6,64.12,DANE,2026-03-18
2007-07-01,2007,7,64.23,DANE,2026-03-18
2007-08-01,2007,8,64.14,DANE,2026-03-18
2007-09-01,2007,9,64.2,DANE,2026-03-18
2007-10-01,2007,10,64.2,DANE,2026-03-18
2007-11-01,2007,11,64.51,DANE,2026-03-18
2007-12-01,2007,12,64.82,DANE,2026-03-18
2008-01-01,2008,1,65.51,DANE,2026-03-18
2008-02-01,2008,2,66.5,DANE,2026-03-18
2008-03-01,2008,3,67.04,DANE,2026-03-18
2008-04-01,2008,4,67.51,DANE,2026-03-18
2008-05-01,2008,5,68.14,DANE,2026-03-18
2008-06-01,2008,6,68.73,DANE,2026-03-18
2008-07-01,2008,7,69.06,DANE,2026-03-18
2008-08-01,2008,8,69.19,DANE,2026-03-18
2008-09-01,2008,9,69.06,DANE,2026-03-18
2008-10-01,2008,10,69.3,DANE,2026-03-18
2008-11-01,2008,11,69.49,DANE,2026-03-18
2008-12-01,2008,12,69.8,DANE,2026-03-18
2009-01-01,2009,1,70.21,DANE,2026-03-18
2009-02-01,2009,2,70.8,DANE,2026-03-18
2009-03-01,2009,3,71.15,DANE,2026-03-18
2009-04-01,2009,4,71.38,DANE,2026-03-18
2009-05-01,2009,5,71.39,DANE,2026-03-18
2009-06-01,2009,6,71.35,DANE,2026-03-18
2009-07-01,2009,7,71.32,DANE,2026-03-18
2009-08-01,2009,8,71.35,DANE,2026-03-18
2009-09-01,2009,9,71.28,DANE,2026-03-18
2009-10-01,2009,10,71.19,DANE,2026-03-18
2009-11-01,2009,11,71.14,DANE,2026-03-18
2009-12-01,2009,12,71.2,DANE,2026-03-18
2010-01-01,2010,1,71.69,DANE,2026-03-18
2010-02-01,2010,2,72.28,DANE,2026-03-18
2010-03-01,2010,3,72.46,DANE,2026-03-18
2010-04-01,2010,4,72.79,DANE,2026-03-18
2010-05-01,2010,5,72.87,DANE,2026-03-18
2010-06-01,2010,6,72.95,DANE,2026-03-18
2010-07-01,2010,7,72.92,DANE,2026-03-18
2010-08-01,2010,8,73.0,DANE,2026-03-18
2010-09-01,2010,9,72.9,DANE,2026-03-18
2010-10-01,2010,10,72.84,DANE,2026-03-18
2010-11-01,2010,11,72.98,DANE,2026-03-18
2010-12-01,2010,12,73.45,DANE,2026-03-18
2011-01-01,2011,1,74.12,DANE,2026-03-18
2011-02-01,2011,2,74.57,DANE,2026-03-18
2011-03-01,2011,3,74.77,DANE,2026-03-18
2011-04-01,2011,4,74.86,DANE,2026-03-18
2011-05-01,2011,5,75.07,DANE,2026-03-18
2011-06-01,2011,6,75.31,DANE,2026-03-18
2011-07-01,2011,7,75.42,DANE,2026-03-18
2011-08-01,2011,8,75.39,DANE,2026-03-18
2011-09-01,2011,9,75.62,DANE,2026-03-18
2011-10-01,2011,10,75.77,DANE,2026-03-18
2011-11-01,2011,11,75.87,DANE,2026-03-18
2011-12-01,2011,12,76.19,DANE,2026-03-18
2012-01-01,2012,1,76.75,DANE,2026-03-18
2012-02-01,2012,2,77.22,DANE,2026-03-18
2012-03-01,2012,3,77.31,DANE,2026-03-18
2012-04-01,2012,4,77.42,DANE,2026-03-18
2012-05-01,2012,5,77.66,DANE,2026-03-18
2012-06-01,2012,6,77.72,DANE,2026-03-18
2012-07-01,2012,7,77.7,DANE,2026-03-18
2012-08-01,2012,8,77.73,DANE,2026-03-18
2012-09-01,2012,9,77.96,DANE,2026-03-18
2012-10-01,2012,10,78.08,DANE,2026-03-18
2012-11-01,2012,11,77.98,DANE,2026-03-18
2012-12-01,2012,12,78.05,DANE,2026-03-18
2013-01-01,2013,1,78.28,DANE,2026-03-18
2013-02-01,2013,2,78.63,DANE,2026-03-18
2013-03-01,2013,3,78.79,DANE,2026-03-18
2013-04-01,2013,4,78.99,DANE,2026-03-18
2013-05-01,2013,5,79.21,DANE,2026-03-18
2013-06-01,2013,6,79.39,DANE,2026-03-18
2013-07-01,2013,7,79.43,DANE,2026-03-18
2013-08-01,2013,8,79.5,DANE,2026-03-18
2013-09-01,2013,9,79.73,DANE,2026-03-18
