date,year,month,capital_stock_real,depreciation_rate,human_capital,source,download_date
1950-01-01,1950,1,143208.3125,0.0327,1.4456,PWT 11.0,2026-05-11
1951-01-01,1951,1,151784.4688,0.0326,1.4591,PWT 11.0,2026-05-11
1952-01-01,1952,1,160910.5,0.0326,1.4727,PWT 11.0,2026-05-11
1953-01-01,1953,1,172045.0,0.033,1.4864,PWT 11.0,2026-05-11
1954-01-01,1954,1,186641.9219,0.0335,1.5002,PWT 11.0,2026-05-11
1955-01-01,1955,1,201757.3906,0.0339,1.5142,PWT 11.0,2026-05-11
1956-01-01,1956,1,216162.8125,0.034,1.5274,PWT 11.0,2026-05-11
1957-01-01,1957,1,227867.1406,0.0334,1.5407,PWT 11.0,2026-05-11
1958-01-01,1958,1,235389.625,0.0323,1.5541,PWT 11.0,2026-05-11
1959-01-01,1959,1,243766.8438,0.0313,1.5677,PWT 11.0,2026-05-11
1960-01-01,1960,1,255918.6406,0.0307,1.5813,PWT 11.0,2026-05-11
1961-01-01,1961,1,270040.3438,0.0306,1.5913,PWT 11.0,2026-05-11
1962-01-01,1962,1,282011.125,0.0303,1.6014,PWT 11.0,2026-05-11
1963-01-01,1963,1,292915.6562,0.0299,1.6116,PWT 11.0,2026-05-11
1964-01-01,1964,1,306541.4375,0.0296,1.6218,PWT 11.0,2026-05-11
1965-01-01,1965,1,318967.8438,0.0293,1.632,PWT 11.0,2026-05-11
1966-01-01,1966,1,333577.3438,0.0291,1.6424,PWT 11.0,2026-05-11
1967-01-01,1967,1,348338.3438,0.0289,1.6528,PWT 11.0,2026-05-11
1968-01-01,1968,1,367322.1562,0.0287,1.6632,PWT 11.0,2026-05-11
1969-01-01,1969,1,386308.6875,0.0287,1.6738,PWT 11.0,2026-05-11
1970-01-01,1970,1,409863.4375,0.0289,1.6843,PWT 11.0,2026-05-11
1971-01-01,1971,1,433945.4062,0.0292,1.697,PWT 11.0,2026-05-11
1972-01-01,1972,1,455843.5,0.0296,1.7096,PWT 11.0,2026-05-11
1973-01-01,1973,1,480267.3125,0.0298,1.7193,PWT 11.0,2026-05-11
1974-01-01,1974,1,507448.3125,0.0299,1.7291,PWT 11.0,2026-05-11
1975-01-01,1975,1,531400.4375,0.0301,1.7389,PWT 11.0,2026-05-11
1976-01-01,1976,1,558505.75,0.0304,1.7488,PWT 11.0,2026-05-11
1977-01-01,1977,1,584342.5625,0.0306,1.7587,PWT 11.0,2026-05-11
1978-01-01,1978,1,613581.9375,0.0308,1.7686,PWT 11.0,2026-05-11
1979-01-01,1979,1,643011.5,0.031,1.7787,PWT 11.0,2026-05-11
1980-01-01,1980,1,677996.1875,0.0314,1.7888,PWT 11.0,2026-05-11
1981-01-01,1981,1,714784.0,0.0316,1.8015,PWT 11.0,2026-05-11
1982-01-01,1982,1,751304.5625,0.0318,1.8144,PWT 11.0,2026-05-11
1983-01-01,1983,1,787105.4375,0.0319,1.8274,PWT 11.0,2026-05-11
1984-01-01,1984,1,822389.8125,0.0317,1.8404,PWT 11.0,2026-05-11
1985-01-01,1985,1,853695.25,0.0315,1.8536,PWT 11.0,2026-05-11
1986-01-01,1986,1,889512.25,0.0311,1.8668,PWT 11.0,2026-05-11
1987-01-01,1987,1,924429.25,0.0309,1.8801,PWT 11.0,2026-05-11
1988-01-01,1988,1,966031.0,0.031,1.8936,PWT 11.0,2026-05-11
1989-01-01,1989,1,1001388.5625,0.031,1.9071,PWT 11.0,2026-05-11
1990-01-01,1990,1,1032796.1875,0.031,1.9207,PWT 11.0,2026-05-11
1991-01-01,1991,1,1057712.875,0.0308,1.9437,PWT 11.0,2026-05-11
1992-01-01,1992,1,1090842.375,0.0305,1.9669,PWT 11.0,2026-05-11
1993-01-01,1993,1,1144227.5,0.0308,1.9904,PWT 11.0,2026-05-11
1994-01-01,1994,1,1204123.75,0.0314,2.0142,PWT 11.0,2026-05-11
1995-01-01,1995,1,1261209.625,0.0319,2.0383,PWT 11.0,2026-05-11
1996-01-01,1996,1,1314146.0,0.0322,2.0626,PWT 11.0,2026-05-11
1997-01-01,1997,1,1362791.625,0.0324,2.0873,PWT 11.0,2026-05-11
1998-01-01,1998,1,1403873.25,0.0326,2.1122,PWT 11.0,2026-05-11
1999-01-01,1999,1,1408990.125,0.0324,2.1374,PWT 11.0,2026-05-11
2000-01-01,2000,1,1412782.5,0.0321,2.163,PWT 11.0,2026-05-11
2001-01-01,2001,1,1423465.625,0.0319,2.1843,PWT 11.0,2026-05-11
2002-01-01,2002,1,1442765.875,0.0318,2.2058,PWT 11.0,2026-05-11
2003-01-01,2003,1,1471821.375,0.0318,2.2276,PWT 11.0,2026-05-11
2004-01-01,2004,1,1508649.5,0.0318,2.2496,PWT 11.0,2026-05-11
2005-01-01,2005,1,1556119.125,0.0319,2.2717,PWT 11.0,2026-05-11
2006-01-01,2006,1,1620708.875,0.0324,2.2941,PWT 11.0,2026-05-11
2007-01-01,2007,1,1702756.625,0.0332,2.3168,PWT 11.0,2026-05-11
2008-01-01,2008,1,1771569.0,0.0339,2.3396,PWT 11.0,2026-05-11
2009-01-01,2009,1,1841114.875,0.0345,2.3627,PWT 11.0,2026-05-11
2010-01-01,2010,1,1916421.25,0.0349,2.386,PWT 11.0,2026-05-11
2011-01-01,2011,1,2002981.125,0.0357,2.4107,PWT 11.0,2026-05-11
2012-01-01,2012,1,2086343.625,0.0365,2.4357,PWT 11.0,2026-05-11
2013-01-01,2013,1,2175999.5,0.037,2.4609,PWT 11.0,2026-05-11
2014-01-01,2014,1,2276362.5,0.0375,2.4864,PWT 11.0,2026-05-11
2015-01-01,2015,1,2382179.25,0.0378,2.5121,PWT 11.0,2026-05-11
2016-01-01,2016,1,2478521.5,0.0378,2.5381,PWT 11.0,2026-05-11
2017-01-01,2017,1,2574892.75,0.0377,2.563,PWT 11.0,2026-05-11
2018-01-01,2018,1,2669737.0,0.0376,2.5808,PWT 11.0,2026-05-11
2019-01-01,2019,1,2765520.0,0.0378,2.5988,PWT 11.0,2026-05-11
2020-01-01,2020,1,2811806.5,0.0378,2.6169,PWT 11.0,2026-05-11
