date,year,month,TES_UVR_1Y,TES_PESOS_1Y,source,download_date
2003-01-01,2003,1,3.16,10.32,BANREP_SUAMECA,2026-06-09
2003-02-01,2003,2,2.88,10.85,BANREP_SUAMECA,2026-06-09
2003-03-01,2003,3,2.85,10.11,BANREP_SUAMECA,2026-06-09
2003-04-01,2003,4,4.1,10.27,BANREP_SUAMECA,2026-06-09
2003-05-01,2003,5,3.37,10.12,BANREP_SUAMECA,2026-06-09
2003-06-01,2003,6,3.82,10.21,BANREP_SUAMECA,2026-06-09
2003-07-01,2003,7,4.28,9.96,BANREP_SUAMECA,2026-06-09
2003-08-01,2003,8,4.51,9.68,BANREP_SUAMECA,2026-06-09
2003-09-01,2003,9,3.17,9.93,BANREP_SUAMECA,2026-06-09
2003-10-01,2003,10,3.8,9.94,BANREP_SUAMECA,2026-06-09
2003-11-01,2003,11,2.85,9.82,BANREP_SUAMECA,2026-06-09
2003-12-01,2003,12,3.52,10.26,BANREP_SUAMECA,2026-06-09
2004-01-01,2004,1,2.24,10.15,BANREP_SUAMECA,2026-06-09
2004-02-01,2004,2,2.0,8.97,BANREP_SUAMECA,2026-06-09
2004-03-01,2004,3,2.91,8.95,BANREP_SUAMECA,2026-06-09
2004-04-01,2004,4,3.1,10.71,BANREP_SUAMECA,2026-06-09
2004-05-01,2004,5,4.7,9.29,BANREP_SUAMECA,2026-06-09
2004-06-01,2004,6,4.6,9.95,BANREP_SUAMECA,2026-06-09
2004-07-01,2004,7,3.65,9.73,BANREP_SUAMECA,2026-06-09
2004-08-01,2004,8,3.25,9.1,BANREP_SUAMECA,2026-06-09
2004-09-01,2004,9,2.77,8.96,BANREP_SUAMECA,2026-06-09
2004-10-01,2004,10,2.74,9.08,BANREP_SUAMECA,2026-06-09
2004-11-01,2004,11,2.69,8.68,BANREP_SUAMECA,2026-06-09
2004-12-01,2004,12,3.7,8.45,BANREP_SUAMECA,2026-06-09
2005-01-01,2005,1,1.69,7.65,BANREP_SUAMECA,2026-06-09
2005-02-01,2005,2,1.67,7.74,BANREP_SUAMECA,2026-06-09
2005-03-01,2005,3,2.74,7.72,BANREP_SUAMECA,2026-06-09
2005-04-01,2005,4,2.25,7.42,BANREP_SUAMECA,2026-06-09
2005-05-01,2005,5,2.28,7.32,BANREP_SUAMECA,2026-06-09
2005-06-01,2005,6,2.57,7.07,BANREP_SUAMECA,2026-06-09
2005-07-01,2005,7,2.58,7.11,BANREP_SUAMECA,2026-06-09
2005-08-01,2005,8,2.95,7.13,BANREP_SUAMECA,2026-06-09
2005-09-01,2005,9,1.68,5.85,BANREP_SUAMECA,2026-06-09
2005-10-01,2005,10,1.27,6.27,BANREP_SUAMECA,2026-06-09
2005-11-01,2005,11,0.74,5.6,BANREP_SUAMECA,2026-06-09
2005-12-01,2005,12,0.69,6.11,BANREP_SUAMECA,2026-06-09
2006-01-01,2006,1,0.79,6.09,BANREP_SUAMECA,2026-06-09
2006-02-01,2006,2,0.66,6.04,BANREP_SUAMECA,2026-06-09
2006-03-01,2006,3,1.65,6.24,BANREP_SUAMECA,2026-06-09
2006-04-01,2006,4,1.68,6.45,BANREP_SUAMECA,2026-06-09
2006-05-01,2006,5,3.57,8.17,BANREP_SUAMECA,2026-06-09
2006-06-01,2006,6,4.37,8.34,BANREP_SUAMECA,2026-06-09
2006-07-01,2006,7,5.24,7.91,BANREP_SUAMECA,2026-06-09
2006-08-01,2006,8,3.39,8.23,BANREP_SUAMECA,2026-06-09
2006-09-01,2006,9,1.99,8.22,BANREP_SUAMECA,2026-06-09
2006-10-01,2006,10,2.71,8.06,BANREP_SUAMECA,2026-06-09
2006-11-01,2006,11,3.27,7.93,BANREP_SUAMECA,2026-06-09
2006-12-01,2006,12,2.72,7.93,BANREP_SUAMECA,2026-06-09
2007-01-01,2007,1,2.01,8.38,BANREP_SUAMECA,2026-06-09
2007-02-01,2007,2,2.23,8.82,BANREP_SUAMECA,2026-06-09
2007-03-01,2007,3,2.48,8.78,BANREP_SUAMECA,2026-06-09
2007-04-01,2007,4,2.66,9.15,BANREP_SUAMECA,2026-06-09
2007-05-01,2007,5,4.85,9.16,BANREP_SUAMECA,2026-06-09
2007-06-01,2007,6,3.04,9.48,BANREP_SUAMECA,2026-06-09
2007-07-01,2007,7,6.01,9.56,BANREP_SUAMECA,2026-06-09
2007-08-01,2007,8,3.38,9.83,BANREP_SUAMECA,2026-06-09
2007-09-01,2007,9,5.56,9.58,BANREP_SUAMECA,2026-06-09
2007-10-01,2007,10,5.62,9.55,BANREP_SUAMECA,2026-06-09
2007-11-01,2007,11,5.01,9.47,BANREP_SUAMECA,2026-06-09
2007-12-01,2007,12,5.17,9.82,BANREP_SUAMECA,2026-06-09
2008-01-01,2008,1,5.13,10.2,BANREP_SUAMECA,2026-06-09
2008-02-01,2008,2,4.62,10.51,BANREP_SUAMECA,2026-06-09
2008-03-01,2008,3,5.05,10.63,BANREP_SUAMECA,2026-06-09
2008-04-01,2008,4,5.54,10.4,BANREP_SUAMECA,2026-06-09
2008-05-01,2008,5,5.54,10.68,BANREP_SUAMECA,2026-06-09
2008-06-01,2008,6,5.96,10.87,BANREP_SUAMECA,2026-06-09
2008-07-01,2008,7,5.01,10.85,BANREP_SUAMECA,2026-06-09
2008-08-01,2008,8,5.76,10.22,BANREP_SUAMECA,2026-06-09
