date,year,month,unemployment_rate,source,download_date
2001-01-01,2001,1,16.622326481659027,DANE,2026-03-18
2001-02-01,2001,2,17.43420624182221,DANE,2026-03-18
2001-03-01,2001,3,15.811933468430714,DANE,2026-03-18
2001-04-01,2001,4,14.51507752039006,DANE,2026-03-18
2001-05-01,2001,5,14.035832905217315,DANE,2026-03-18
2001-06-01,2001,6,15.312343206140794,DANE,2026-03-18
2001-07-01,2001,7,15.183814819180185,DANE,2026-03-18
2001-08-01,2001,8,14.913511091006335,DANE,2026-03-18
2001-09-01,2001,9,14.074145894901372,DANE,2026-03-18
2001-10-01,2001,10,14.524934134596732,DANE,2026-03-18
2001-11-01,2001,11,13.682217605975037,DANE,2026-03-18
2001-12-01,2001,12,13.608424834543777,DANE,2026-03-18
2002-01-01,2002,1,17.909856218083295,DANE,2026-03-18
2002-02-01,2002,2,16.18883167295959,DANE,2026-03-18
2002-03-01,2002,3,15.111403646422641,DANE,2026-03-18
2002-04-01,2002,4,16.077003414557595,DANE,2026-03-18
2002-05-01,2002,5,15.022084497805835,DANE,2026-03-18
2002-06-01,2002,6,15.911024661278688,DANE,2026-03-18
2002-07-01,2002,7,15.426122981760457,DANE,2026-03-18
2002-08-01,2002,8,15.952750840335387,DANE,2026-03-18
2002-09-01,2002,9,14.46548871450829,DANE,2026-03-18
2002-10-01,2002,10,14.972588991844201,DANE,2026-03-18
2002-11-01,2002,11,15.189322594155364,DANE,2026-03-18
2002-12-01,2002,12,15.422503660536979,DANE,2026-03-18
2003-01-01,2003,1,16.271519203210936,DANE,2026-03-18
2003-02-01,2003,2,15.83837413367715,DANE,2026-03-18
2003-03-01,2003,3,13.105699311140615,DANE,2026-03-18
2003-04-01,2003,4,15.005946521142869,DANE,2026-03-18
2003-05-01,2003,5,12.816057870033204,DANE,2026-03-18
2003-06-01,2003,6,14.10509312435817,DANE,2026-03-18
2003-07-01,2003,7,14.514325563095424,DANE,2026-03-18
2003-08-01,2003,8,14.378067800697803,DANE,2026-03-18
2003-09-01,2003,9,14.234766629217132,DANE,2026-03-18
2003-10-01,2003,10,13.522169959208757,DANE,2026-03-18
2003-11-01,2003,11,12.635211630274364,DANE,2026-03-18
2003-12-01,2003,12,12.558278405355342,DANE,2026-03-18
2004-01-01,2004,1,17.256432645324725,DANE,2026-03-18
2004-02-01,2004,2,15.753438545792985,DANE,2026-03-18
2004-03-01,2004,3,13.522674534509044,DANE,2026-03-18
2004-04-01,2004,4,14.68099405661674,DANE,2026-03-18
2004-05-01,2004,5,13.832959328299,DANE,2026-03-18
2004-06-01,2004,6,14.073592702438365,DANE,2026-03-18
2004-07-01,2004,7,12.90874880701794,DANE,2026-03-18
2004-08-01,2004,8,13.056943458531144,DANE,2026-03-18
2004-09-01,2004,9,12.285073200033224,DANE,2026-03-18
2004-10-01,2004,10,12.285638235167037,DANE,2026-03-18
2004-11-01,2004,11,11.836774945952012,DANE,2026-03-18
2004-12-01,2004,12,11.953942605918524,DANE,2026-03-18
2005-01-01,2005,1,13.262646301922926,DANE,2026-03-18
2005-02-01,2005,2,14.096902979451464,DANE,2026-03-18
2005-03-01,2005,3,12.954344315861915,DANE,2026-03-18
2005-04-01,2005,4,12.020492431730782,DANE,2026-03-18
2005-05-01,2005,5,12.490683577333161,DANE,2026-03-18
2005-06-01,2005,6,11.542675627571272,DANE,2026-03-18
2005-07-01,2005,7,12.048355685604447,DANE,2026-03-18
2005-08-01,2005,8,11.718827564184519,DANE,2026-03-18
2005-09-01,2005,9,11.333253055193566,DANE,2026-03-18
2005-10-01,2005,10,9.898499787027768,DANE,2026-03-18
2005-11-01,2005,11,10.281330827408848,DANE,2026-03-18
2005-12-01,2005,12,10.272246201875628,DANE,2026-03-18
2006-01-01,2006,1,13.36962875808833,DANE,2026-03-18
2006-02-01,2006,2,13.079196639846558,DANE,2026-03-18
2006-03-01,2006,3,11.367138289572786,DANE,2026-03-18
2006-04-01,2006,4,12.06426233551607,DANE,2026-03-18
2006-05-01,2006,5,11.868760052957542,DANE,2026-03-18
2006-06-01,2006,6,10.477284559212622,DANE,2026-03-18
2006-07-01,2006,7,12.2993,DANE,2026-03-18
2006-08-01,2006,8,13.043927969,DANE,2026-03-18
2006-09-01,2006,9,12.914994537,DANE,2026-03-18
2006-10-01,2006,10,11.355034134,DANE,2026-03-18
2006-11-01,2006,11,10.996331575,DANE,2026-03-18
2006-12-01,2006,12,11.84025816,DANE,2026-03-18
2007-01-01,2007,1,14.2792,DANE,2026-03-18
2007-02-01,2007,2,12.8562,DANE,2026-03-18
2007-03-01,2007,3,12.0333,DANE,2026-03-18
2007-04-01,2007,4,10.8079,DANE,2026-03-18
2007-05-01,2007,5,11.7017,DANE,2026-03-18
2007-06-01,2007,6,11.1987,DANE,2026-03-18
2007-07-01,2007,7,11.3541,DANE,2026-03-18
2007-08-01,2007,8,10.8618,DANE,2026-03-18
2007-09-01,2007,9,10.8709,DANE,2026-03-18
2007-10-01,2007,10,10.2119,DANE,2026-03-18
2007-11-01,2007,11,9.4884,DANE,2026-03-18
2007-12-01,2007,12,9.9234,DANE,2026-03-18
2008-01-01,2008,1,13.2975,DANE,2026-03-18
2008-02-01,2008,2,12.1946,DANE,2026-03-18
2008-03-01,2008,3,11.3381,DANE,2026-03-18
2008-04-01,2008,4,11.079,DANE,2026-03-18
2008-05-01,2008,5,10.8121,DANE,2026-03-18
2008-06-01,2008,6,11.4137,DANE,2026-03-18
2008-07-01,2008,7,12.2102,DANE,2026-03-18
2008-08-01,2008,8,11.4262,DANE,2026-03-18
2008-09-01,2008,9,11.0468,DANE,2026-03-18
2008-10-01,2008,10,10.1815,DANE,2026-03-18
2008-11-01,2008,11,10.9115,DANE,2026-03-18
2008-12-01,2008,12,10.7731,DANE,2026-03-18
2009-01-01,2009,1,14.4724,DANE,2026-03-18
2009-02-01,2009,2,12.7709,DANE,2026-03-18
2009-03-01,2009,3,12.1859,DANE,2026-03-18
2009-04-01,2009,4,12.1186,DANE,2026-03-18
2009-05-01,2009,5,11.7578,DANE,2026-03-18
2009-06-01,2009,6,11.597,DANE,2026-03-18
2009-07-01,2009,7,12.8426,DANE,2026-03-18
2009-08-01,2009,8,11.9361,DANE,2026-03-18
2009-09-01,2009,9,12.4403,DANE,2026-03-18
2009-10-01,2009,10,11.7565,DANE,2026-03-18
2009-11-01,2009,11,11.3871,DANE,2026-03-18
2009-12-01,2009,12,11.3122,DANE,2026-03-18
2010-01-01,2010,1,14.8787,DANE,2026-03-18
2010-02-01,2010,2,12.6947,DANE,2026-03-18
2010-03-01,2010,3,11.959,DANE,2026-03-18
2010-04-01,2010,4,12.4399,DANE,2026-03-18
2010-05-01,2010,5,12.2634,DANE,2026-03-18
2010-06-01,2010,6,11.9801,DANE,2026-03-18
2010-07-01,2010,7,12.8583,DANE,2026-03-18
2010-08-01,2010,8,11.3779,DANE,2026-03-18
2010-09-01,2010,9,10.8675,DANE,2026-03-18
2010-10-01,2010,10,10.4525,DANE,2026-03-18
2010-11-01,2010,11,10.9341,DANE,2026-03-18
2010-12-01,2010,12,11.2264,DANE,2026-03-18
2011-01-01,2011,1,13.8965,DANE,2026-03-18
2011-02-01,2011,2,13.1393,DANE,2026-03-18
2011-03-01,2011,3,10.9483,DANE,2026-03-18
2011-04-01,2011,4,11.2743,DANE,2026-03-18
