date,year,quarter,gap_viog,gap_inv_viog,gap_bhp,gap_cf,gap_bk,gap_bw,gap_kalman,source,gap_ref
1949-01-01,1949,1,-0.011299254823284421,-0.0005372185969401144,0.02052715533884264,-0.030183467717198376,,-0.0009908924293409171,-0.01761809306074813,FRED/CBO,0.0014012630790105618
1949-04-01,1949,2,-0.03161593539442009,-0.018201863997590273,-0.0027648846620369483,-0.04117029779292736,,-0.021683438058005322,-0.04007459821004922,FRED/CBO,-0.015046945037767046
1949-07-01,1949,3,-0.03609160126346378,-0.02352840041797233,-0.012005142551672066,-0.04583363449127198,,-0.02832613128782402,-0.0432660689115556,FRED/CBO,-0.018210121566615278
1949-10-01,1949,4,-0.04195954060921281,-0.04187980090835719,-0.03960157999442693,-0.04266044538325797,,-0.053277222181087325,-0.035206204511577965,FRED/CBO,-0.039309137057829346
1950-01-01,1950,1,-0.02419227685452796,-0.021552645724911557,-0.01986686584277475,-0.02945425134127788,,-0.030834495506338655,-0.020427475829905006,FRED/CBO,-0.014031886643990354
1950-04-01,1950,2,-0.009232075036188725,-0.0066763060454135825,-0.008196109194018142,-0.011986606688662249,,-0.016457182469371112,-0.006474595560179708,FRED/CBO,0.002807171886877846
1950-07-01,1950,3,0.009800302763281366,0.012491956860203324,0.011911833280616513,0.005862466149042511,,0.006254735447178916,0.003949375092478391,FRED/CBO,0.027617214453131922
1950-10-01,1950,4,0.017368524049016898,0.017387606028973934,0.013763826579253902,0.02062671841984276,,0.010494830928842624,0.008848937973043647,FRED/CBO,0.03305894391070208
1951-01-01,1951,1,0.019935001837403377,0.017446756049940504,0.010933157155846196,0.030043833455202673,,0.009749356588585556,0.009422641991658764,FRED/CBO,0.033007109827281944
1951-04-01,1951,2,0.02242075028009971,0.018824519600765477,0.012653323762976676,0.03253397551436077,,0.013193592122767939,0.007543863055078148,FRED/CBO,0.03680832969673187
1951-07-01,1951,3,0.024925115024010402,0.021366019704904815,0.018500101067562724,0.028524847285326338,,0.020367641703581185,0.004687839103518776,FRED/CBO,0.04347240508292405
1951-10-01,1951,4,0.01639931623193558,0.012064656370442073,0.007065544569059945,0.021166843070682617,,0.00985292197028631,0.0012170892568077463,FRED/CBO,0.03160130119794413
1952-01-01,1952,1,0.012901701732823234,0.009319203093514972,0.004954632365754996,0.013913251616052946,0.009406126895155076,0.00827884538765744,-0.001109802642319302,FRED/CBO,0.028270657984526437
1952-04-01,1952,2,0.005977933974669725,0.006000130630892109,-0.004777983825469789,0.011214192094689324,0.007467437589069981,-0.0012628116854820348,-0.0025361601039257664,FRED/CBO,0.016175694730425683
1952-07-01,1952,3,0.004321362522762939,0.007466074605346762,-0.008665794889489042,0.014548741775818996,0.012034581665179012,-0.005259674911463286,-0.002520087160452711,FRED/CBO,0.010321952095280196
1952-10-01,1952,4,0.018598182933536656,0.017298077855104843,0.013326993985073088,0.021048463400572537,0.02056680834510427,0.01636084462202092,-0.0006729086230876646,FRED/CBO,0.030524647875783018
1953-01-01,1953,1,0.025125902950962065,0.02297263171474917,0.022150038341699485,0.025550603094537827,0.027820068537018905,0.024569657472946815,0.0008633377167051037,FRED/CBO,0.038139212896728836
1953-04-01,1953,2,0.023482614324880302,0.021171077009995543,0.02092108554014871,0.022346290876567032,0.026989747125805152,0.02253142068788261,0.0015830113988810623,FRED/CBO,0.03584266606563524
1953-07-01,1953,3,0.011208396252310848,0.010024604674018,0.0069123997447047,0.00916791399978134,0.014839552330837336,0.007606549025048537,0.0011593372211171626,FRED/CBO,0.021325477206156407
1953-10-01,1953,4,-0.008853365463496132,-0.007668039423761819,-0.016289644466173314,-0.011191383092140406,-0.0054658665434592635,-0.016492887487417285,-0.00010677341602072232,FRED/CBO,-0.0018171854425785838
1954-01-01,1954,1,-0.02271162448083608,-0.020479117489328402,-0.028764594098356078,-0.03106561585255907,-0.025092741753039327,-0.029710607687152724,-0.0011009173389489035,FRED/CBO,-0.013974139178101197
1954-04-01,1954,2,-0.030161601442502572,-0.026115586111865596,-0.03521935354946315,-0.04211423245542445,-0.03437883315704049,-0.03665062894719462,-0.0016733500744239294,FRED/CBO,-0.019490532102775404
1954-07-01,1954,3,-0.027070075514918024,-0.02235452910847524,-0.03146558353303597,-0.03985559210910594,-0.029302169726792116,-0.033076474503176634,-0.0015220791337728912,FRED/CBO,-0.014471950223859054
1954-10-01,1954,4,-0.015300971788827056,-0.011883737358637347,-0.019504563909598538,-0.026208601385119046,-0.01374027133448763,-0.02100626758717894,-0.0007561622743148533,FRED/CBO,-0.0014025671382578153
1955-01-01,1955,1,0.003292719002837785,0.0029025090596608294,0.001346852174833657,-0.008175011175440616,0.004583039324531413,0.00016971048562375302,0.00042291730362009616,FRED/CBO,0.02067177529049502
1955-04-01,1955,2,0.013689065182767912,0.011182993681030595,0.010362198276857804,0.0059136442524971855,0.018226825998548968,0.009618051707579234,0.0009814338661806588,FRED/CBO,0.03032473282304249
1955-07-01,1955,3,0.019602145293110773,0.015199455794289385,0.016907093757913216,0.011192580358891036,0.022855530324539686,0.016602986371499817,0.0011364281300654255,FRED/CBO,0.03742265378188936
1955-10-01,1955,4,0.01837755711223199,0.013532792148233774,0.016327182201958834,0.008045275052309897,0.01912834655184792,0.016390834108356955,0.0007656541913299009,FRED/CBO,0.036901119100821944
1956-01-01,1956,1,0.010202967349243863,0.006993914429298087,0.0061871639089527974,0.0014863654389909442,0.011552135907416883,0.0065006052694212,-1.4298080854402428e-05,FRED/CBO,0.026414850729585382
1956-04-01,1956,2,0.010077968794559133,0.006067618881787418,0.008463598704611108,-0.002230786833755438,0.0058417130205459245,0.00889474067158158,-0.00015353107980864422,FRED/CBO,0.028161218657724696
1956-07-01,1956,3,0.006641183521199245,0.003708593075293365,0.0018737385474620893,0.00036361020911979125,0.006033344461148893,0.0022880669507285845,-0.00030451529931063703,FRED/CBO,0.020522369625220804
1956-10-01,1956,4,0.014908246710255035,0.00956526925112744,0.012717840025927352,0.007454218036067495,0.011169448303765428,0.012993944855471007,0.00044870839787591876,FRED/CBO,0.02975597188668999
1957-01-01,1957,1,0.016769264116136995,0.011293694370846374,0.013774773516523453,0.013172185780756074,0.015678644521393004,0.013807054513677919,0.000876695278854811,FRED/CBO,0.0285447622124968
1957-04-01,1957,2,0.010903412728501038,0.007382794689936745,0.0063313603991304035,0.011605753268053576,0.01258648641420912,0.00605268804073944,0.0008092484915316334,FRED/CBO,0.018324749692435027
1957-07-01,1957,3,0.008929232505431983,0.0049285874345184055,0.010804416665493477,0.0009117180744180331,-0.0004422641488748269,0.010210001435737581,0.0008561412634300325,FRED/CBO,0.01974830206732836
1957-10-01,1957,4,-0.007012935746883997,-0.006713002737663842,-0.00501563685644868,-0.014411243729421486,-0.018691973552988017,-0.005859187651617859,-0.00023865302118863951,FRED/CBO,0.0006866606818167753
1958-01-01,1958,1,-0.03164986495251387,-0.023270520164869524,-0.03701232868965132,-0.027151736044785046,-0.0340887631833402,-0.03795021091873618,-0.0020373466721252953,FRED/CBO,-0.034264959124997496
1958-04-01,1958,2,-0.03316736896431838,-0.02396253986477692,-0.03655612749433157,-0.029300902034541387,-0.038106584773857755,-0.03735881674067354,-0.0022646844527489662,FRED/CBO,-0.03660925578374563
1958-07-01,1958,3,-0.020926156545527874,-0.015290305277838812,-0.020224025529520517,-0.019743456594314424,-0.029912357256243638,-0.02065891528928887,-0.0014040059372817382,FRED/CBO,-0.02272802165799348
1958-10-01,1958,4,-0.006415816228905413,-0.004920135563995842,-0.004067676752569582,-0.0035432088949018947,-0.015042497486161821,-0.003968200491518914,-0.0002986759651530946,FRED/CBO,-0.00898078655850476
1959-01-01,1959,1,0.005512306974567949,0.00364154901497038,0.007633325157936355,0.01243334695386622,-0.00046384780679176174,0.008330179191807119,0.0006171937801031646,FRED/CBO,0.0006309498481620324
1959-04-01,1959,2,0.017444653754809636,0.011694766115684985,0.022335242410129297,0.022964224835318348,0.00913279331990502,0.023582735366463936,0.0014200910186428217,FRED/CBO,0.013297447809149432
1959-07-01,1959,3,0.01422042939159418,0.00994394336224147,0.015211491106200015,0.027331261597595358,0.012853359048323298,0.01686967205212042,0.0011488707084570393,FRED/CBO,0.00392469289204378
1959-10-01,1959,4,0.010451645708837276,0.0075027600150257,0.01001336009099063,0.02645727217423044,0.011807749187518368,0.011893520882145125,0.0008358485018913342,FRED/CBO,-0.003274241283511614
1960-01-01,1960,1,0.016664431493220278,0.01096957572657864,0.023974784178196984,0.02169609830523811,0.007216196209128611,0.02586985691179322,0.0011823470934224645,FRED/CBO,0.008747994203250897
1960-04-01,1960,2,0.005582359991594288,0.0037248362234691967,0.01005362537383192,0.014826118564274182,-1.9542872438549352e-05,0.011758452363714866,0.0003656512711582849,FRED/CBO,-0.0066786456222036605
1960-07-01,1960,3,-0.0004837009000961956,-0.0005444765935695983,0.006105484585555487,0.005324907780128285,-0.009508431732404787,0.007462971378874528,-0.00021272626467094824,FRED/CBO,-0.011778967120630313
1960-10-01,1960,4,-0.017559080509155223,-0.011305868997252944,-0.016034489930541795,-0.004913797895492067,-0.01958672952565621,-0.015114765247236761,-0.0014030005851832783,FRED/CBO,-0.034492238239892004
1961-01-01,1961,1,-0.021970682593591917,-0.014065323734195445,-0.019005118660215814,-0.01229612979406447,-0.025719218279242284,-0.01853641294444941,-0.0015988033515590416,FRED/CBO,-0.03761663415201966
1961-04-01,1961,2,-0.01800103726935376,-0.011387628206760425,-0.012388320225655391,-0.013142149730349217,-0.024535819808523485,-0.01233744687620053,-0.001085106248710943,FRED/CBO,-0.030306812168303665
1961-07-01,1961,3,-0.010584099491476096,-0.006360549868576371,-0.0041092188916564965,-0.0071483303743349325,-0.016776615375444948,-0.004431723666028731,-0.0003221268826489876,FRED/CBO,-0.021119179790291653
1961-10-01,1961,4,-0.0021001453247659896,-0.0007593985561626937,0.004084646008699622,0.0019571471744832536,-0.006931768711988084,0.003422562161841114,0.0004106605548575004,FRED/CBO,-0.01153000047761843
1962-01-01,1962,1,0.004167638321808553,0.0032183768701994353,0.01008431378496688,0.008385725056221816,-0.00020485118811741643,0.00909983768748468,0.0008649694804923058,FRED/CBO,-0.0038981238787538786
1962-04-01,1962,2,0.0027577934807982984,0.0023042722858139797,0.006985731740392964,0.008149455346371681,0.0003256244893226068,0.005688737605934691,0.0007331744853331656,FRED/CBO,-0.005106239739903984
