fecha,td_obs,nairu,nairu_lo90,nairu_hi90,nairu_lo95,nairu_hi95,uci_obs,naicu,naicu_lo90,naicu_hi90,brecha_inf,brecha_laboral,brecha_uci
2006-01-01,11.2461,11.9722,7.7119,16.2326,6.8957,17.0488,79.1093,72.0731,68.7383,75.4078,-0.87,-0.7261,7.0362
2006-02-01,11.8492,11.9138,7.9935,15.834,7.2425,16.5851,79.9166,72.217,68.9558,75.4781,-0.85,-0.0646,7.6996
2006-03-01,11.4889,11.9082,8.3008,15.5156,7.6097,16.2067,82.3017,72.3749,69.1852,75.5647,-0.87,-0.4193,9.9268
2006-04-01,11.9006,11.8743,8.5546,15.194,7.9186,15.83,79.3184,72.5757,69.4552,75.6962,-0.95,0.0263,6.7427
2006-05-01,11.8529,11.8761,8.8209,14.9313,8.2356,15.5166,81.8158,72.7109,69.6576,75.7642,-0.89,-0.0232,9.1049
2006-06-01,10.5978,11.8739,9.0621,14.6858,8.5234,15.2245,81.1655,72.8929,69.9047,75.8811,-0.81,-1.2762,8.2726
2006-09-01,13.1146,11.7716,9.1834,14.3598,8.6876,14.8556,83.2357,73.0572,70.1322,75.9822,-0.8,1.343,10.1785
2006-10-01,12.6307,11.8788,9.4963,14.2613,9.0399,14.7178,82.7429,73.257,70.3931,76.1209,-1.07,0.7519,9.4859
2006-11-01,12.2256,11.9392,9.7458,14.1326,9.3256,14.5528,85.3008,73.4354,70.6308,76.2401,-0.87,0.2864,11.8654
2006-12-01,12.8176,11.9623,9.9427,13.9819,9.5558,14.3688,81.5031,73.6611,70.9138,76.4084,-0.75,0.8553,7.842
2007-01-01,11.9857,12.031,10.1711,13.8908,9.8148,14.2471,81.7271,73.8066,71.1147,76.4984,0.05,-0.0453,7.9205
2007-02-01,11.7002,12.027,10.314,13.7401,9.9858,14.0682,79.9672,73.9639,71.3257,76.6021,-0.05,-0.3268,6.0033
2007-03-01,12.0548,12.0006,10.4225,13.5788,10.1202,13.8811,81.2084,74.0813,71.495,76.6676,-0.01,0.0541,7.1271
2007-04-01,10.7189,12.0047,10.5504,13.4589,10.2718,13.7375,81.4469,74.2216,71.6854,76.7578,0.14,-1.2857,7.2253
2007-05-01,11.6997,11.9014,10.561,13.2419,10.3042,13.4987,82.4551,74.3653,71.8775,76.8531,0.12,-0.2017,8.0898
2007-06-01,11.3981,11.885,10.649,13.121,10.4122,13.3577,81.5625,74.5236,72.0825,76.9647,0.07,-0.4869,7.0389
2007-07-01,11.0005,11.8459,10.7057,12.986,10.4873,13.2044,81.5343,74.6579,72.2619,77.0539,0.13,-0.8454,6.8764
2007-08-01,10.9567,11.7781,10.7259,12.8303,10.5244,13.0318,82.9161,74.7877,72.4351,77.1402,0.06,-0.8214,8.1284
2007-09-01,11.1124,11.7125,10.741,12.684,10.5549,12.8701,82.6732,74.9374,72.6268,77.248,0.0,-0.6001,7.7358
2007-10-01,11.478,11.6646,10.767,12.5623,10.5951,12.7342,83.0006,75.0781,72.8079,77.3483,0.23,-0.1867,7.9225
2007-11-01,10.5743,11.6498,10.8198,12.4797,10.6608,12.6387,82.532,75.2244,72.9931,77.4557,0.22,-1.0755,7.3076
2007-12-01,10.74,11.5639,10.7959,12.332,10.6488,12.4791,80.7926,75.3557,73.1619,77.5495,0.2,-0.824,5.4369
2008-01-01,11.1021,11.4983,10.7869,12.2097,10.6506,12.346,79.115,75.4477,73.29,77.6055,0.19,-0.3962,3.6673
2008-02-01,11.1166,11.4669,10.8072,12.1266,10.6808,12.253,78.63,75.5049,73.3819,77.628,0.25,-0.3503,3.1251
2008-03-01,11.2954,11.439,10.8265,12.0515,10.7092,12.1689,76.7855,75.5538,73.4641,77.6435,0.23,-0.1436,1.2317
2008-04-01,10.9764,11.4276,10.8581,11.9971,10.7489,12.1062,79.9585,75.5664,73.5088,77.6241,0.23,-0.4512,4.3921
2008-05-01,10.7938,11.3915,10.861,11.9219,10.7594,12.0235,79.3786,75.644,73.6171,77.6708,0.25,-0.5977,3.7346
2008-06-01,11.6163,11.3437,10.8487,11.8386,10.7539,11.9335,75.7329,75.7071,73.7098,77.7044,0.28,0.2726,0.0258
2008-07-01,11.6673,11.3654,10.9026,11.8282,10.8139,11.9168,77.7348,75.6988,73.7298,77.6677,0.16,0.3019,2.036
2008-08-01,11.6136,11.3896,10.9559,11.8233,10.8728,11.9063,77.4249,75.7267,73.785,77.6685,0.15,0.224,1.6982
2008-09-01,11.3493,11.4075,11.0001,11.8149,10.922,11.8929,79.5083,75.7497,73.8341,77.6654,0.14,-0.0582,3.7586
2008-10-01,11.4401,11.4029,11.0191,11.7867,10.9456,11.8602,77.9212,75.8116,73.921,77.7022,0.5,0.0373,2.1096
2008-11-01,12.0865,11.4058,11.0432,11.7684,10.9737,11.8378,76.1577,75.8435,73.9768,77.7102,0.24,0.6807,0.3142
2008-12-01,11.6021,11.4604,11.1168,11.804,11.051,11.8698,74.6384,75.8339,73.9902,77.6777,0.38,0.1417,-1.1955
2009-01-01,12.0117,11.4718,11.1451,11.7985,11.0825,11.8611,72.7544,75.7961,73.9743,77.6179,-0.76,0.5399,-3.0417
2009-02-01,11.5778,11.5159,11.2042,11.8275,11.1445,11.8872,73.33,75.7053,73.9045,77.5061,-0.62,0.0619,-2.3753
2009-03-01,12.138,11.5215,11.2232,11.8198,11.1661,11.877,74.8885,75.6322,73.8515,77.413,-0.66,0.6165,-0.7437
2009-04-01,11.941,11.5715,11.285,11.8581,11.2301,11.913,72.894,75.5925,73.8309,77.354,-0.83,0.3695,-2.6985
2009-05-01,11.708,11.6019,11.3257,11.8781,11.2728,11.931,73.1061,75.5121,73.769,77.2553,-0.91,0.1061,-2.406
2009-06-01,11.7749,11.6112,11.3441,11.8783,11.2929,11.9295,72.7424,75.4383,73.7126,77.164,-0.95,0.1637,-2.6959
2009-07-01,12.1502,11.6251,11.3659,11.8842,11.3163,11.9339,73.8099,75.3599,73.6509,77.0688,-0.92,0.5252,-1.55
2009-08-01,12.2214,11.6678,11.4156,11.92,11.3672,11.9683,73.6457,75.3073,73.6143,77.0003,-0.92,0.5536,-1.6616
