fecha,anio,trimestre,pib_cop,pib_idx,pib_pot_idx,pib_bhp_idx,brecha_cd,brecha_bhp,alpha,ptf_obs,ptf_pot,k_idx,k_pot_idx,l_idx,l_pot_idx,lh_idx,lh_pot_idx,uci,naicu_q,td,nairu_q,tgp,tgp_star,pet,contrib_capital,contrib_trabajo,contrib_ptf,crecimiento_potencial
2005-01-01,2005,1,126107.9971,,,,,,0.4946,,,,,,,,,,,12.4269,,65.9028,68.7705,28255.2,,,,
2005-04-01,2005,2,129054.9995,,,,,,0.4946,,,,,,,,,,,11.9907,,65.8882,68.7216,28387.4,,,,
2005-07-01,2005,3,128686.1731,,,,,,0.4946,,,,,,,,,,,11.7247,,66.028,68.6727,28429.9,,,,
2005-10-01,2005,4,131003.8303,,,,,,0.4946,,,,,94.6384,,95.3383,,,,11.1337,,65.9941,68.6238,28634.0333,,,,
2006-01-01,2006,1,134233.0909,,,,,,0.4946,,,,,96.4279,,97.3788,,80.4425,72.2217,11.5275,11.9314,65.9615,68.5749,28761.0333,,,,
2006-04-01,2006,2,135893.7439,,,,,,0.4946,,,,,95.7302,,96.9132,,80.7666,72.7265,11.4406,11.8748,65.4822,68.526,28885.9333,,,,
2006-07-01,2006,3,138577.3806,,,,,,0.4946,,,,,,,,,,,,,,68.4771,,,,,
2006-10-01,2006,4,140730.7847,,,,,,0.4946,,,,,,,,,83.1823,73.4512,12.5584,11.9268,62.1572,68.4282,29253.3667,,,,
2007-01-01,2007,1,143317.9731,,,,,,0.4946,,,,,,,,,80.9676,73.9506,11.9124,12.0195,63.0468,68.3793,29283.4667,,,,
2007-04-01,2007,2,145054.4202,,,,,,0.4946,,,,,,,,,81.8215,74.3702,11.271,11.9304,63.8312,68.3305,29415.4667,,,,
2007-07-01,2007,3,148122.5226,100.0,99.5591,99.0933,0.4429,0.915,0.4946,0.9762,0.9833,110.6963,100.0,92.6505,100.0,94.9548,102.4871,82.3745,74.7943,11.0235,11.7788,63.6304,68.2816,29478.8,,,,
2007-10-01,2007,4,149962.0842,101.5993,100.8628,100.0911,0.7302,1.5067,0.4946,0.9758,0.9817,112.1917,102.2731,94.2039,100.4568,96.7832,103.2073,82.1084,75.2194,10.9346,11.6261,64.1243,68.2327,29777.2667,,,,
2008-01-01,2008,1,150365.7438,102.8202,101.7172,101.0895,1.0844,1.7121,0.4946,0.9813,0.9801,112.9086,104.3853,94.5582,100.2064,97.3845,103.2015,78.1768,75.5022,11.1718,11.4681,64.3087,68.1838,29813.9,,,,
2008-04-01,2008,2,151769.5687,103.9836,103.0675,102.0899,0.8888,1.8549,0.4946,0.9849,0.9785,113.2909,106.3246,95.4431,101.0992,98.5385,104.3781,78.3567,75.6392,11.1246,11.3876,64.0548,68.1349,29908.5,,,,
2008-07-01,2008,3,153090.7174,104.8443,104.5606,103.095,0.2713,1.6967,0.4946,0.9849,0.9769,113.3881,108.1301,96.6966,102.3993,100.0785,105.9806,78.2227,75.7251,11.5433,11.3875,64.185,68.086,30008.3667,3.8658,1.6941,-0.6583,4.9016
2008-10-01,2008,4,150486.9701,104.9352,105.5878,104.1086,-0.618,0.794,0.4946,0.9883,0.9752,112.8415,109.8476,96.4288,102.8842,100.0464,106.744,76.2391,75.8297,11.7074,11.423,62.7161,68.0371,30367.7,3.5336,1.7029,-0.6583,4.5782
2009-01-01,2009,1,150954.6375,105.0372,106.923,105.1354,-1.7636,-0.0934,0.4946,0.9816,0.9736,112.7326,111.4611,97.7647,104.064,101.681,108.2326,73.6576,75.7112,11.9102,11.5031,65.2032,67.9882,30347.1,3.2437,2.4058,-0.6583,4.9912
2009-04-01,2009,2,152459.0529,105.1567,107.3597,106.181,-2.052,-0.9647,0.4946,0.9807,0.972,112.2933,112.9919,98.3046,103.598,102.4946,108.0136,72.9142,75.5143,11.8078,11.5949,66.8965,67.9393,30478.0667,3.008,1.7305,-0.6583,4.0801
2009-07-01,2009,3,153996.6863,105.3136,107.9665,107.2505,-2.4571,-1.806,0.4946,0.977,0.9704,112.2424,114.4383,99.1309,103.5467,103.6103,108.2256,73.7937,75.3069,12.4286,11.6685,66.6975,67.8904,30595.1333,2.8043,1.0594,-0.6583,3.2054
2009-10-01,2009,4,155205.6233,106.1311,108.6917,108.3488,-2.3558,-2.0468,0.4946,0.9672,0.9688,113.6753,115.8173,101.1755,103.7881,106.0067,108.7441,75.7112,75.1868,12.6321,11.9018,67.6663,67.8415,30908.7,2.6173,0.9383,-0.6583,2.8973
2010-01-01,2010,1,156768.5779,107.1383,109.4485,109.4793,-2.1107,-2.1382,0.4946,0.9607,0.9673,115.6189,117.2335,102.4995,104.0634,107.6568,109.2993,74.5092,75.1235,11.9285,11.9931,67.3608,67.7926,30922.8333,2.4972,0.4957,-0.6583,2.3346
2010-04-01,2010,2,159215.0403,108.3087,110.4864,110.6439,-1.971,-2.1106,0.4946,0.9525,0.9657,118.6845,118.7564,103.5551,104.7647,109.047,110.3207,76.5084,75.1405,12.2387,11.9942,67.7027,67.7437,31062.1667,2.4609,1.0682,-0.6583,2.8707
2010-07-01,2010,3,160387.8128,109.416,111.1756,111.8435,-1.5827,-2.1705,0.4946,0.9454,0.9641,121.6469,120.4232,104.4059,104.6958,110.2266,110.5327,76.9333,75.1972,11.7854,12.0322,68.0875,67.6948,31209.8333,2.5212,1.0661,-0.6583,2.929
2010-10-01,2010,4,163779.569,110.9013,112.1682,113.0771,-1.1294,-1.9242,0.4946,0.9453,0.9625,123.8851,122.2441,105.0785,105.072,111.2224,111.2155,76.8,75.3011,11.988,11.9707,67.6984,67.6459,31472.5,2.671,1.1358,-0.6583,3.1484
2011-01-01,2011,1,167286.916,112.7236,113.2303,114.3424,-0.4476,-1.4158,0.4946,0.9461,0.9609,126.4966,124.1781,105.878,105.4909,112.3565,111.9456,76.3667,75.3401,11.4448,11.9526,67.7792,67.597,31484.2333,2.8462,1.2091,-0.6583,3.397
2011-04-01,2011,2,169747.0668,114.5482,114.8023,115.6357,-0.2214,-0.9405,0.4946,0.945,0.9593,128.7012,126.1997,107.4359,106.7798,114.3052,113.6071,77.1333,75.4193,11.3263,11.812,67.6344,67.5481,31635.6667,3.0066,1.4837,-0.6583,3.8319
2011-07-01,2011,3,173210.156,116.7695,116.206,116.9523,0.4849,-0.1563,0.4946,0.9484,0.9577,130.9982,128.2782,108.6286,107.7165,115.8731,114.9001,77.6667,75.5308,10.8047,11.6841,68.0141,67.4992,31783.4,3.1252,1.9586,-0.6583,4.4254
2011-10-01,2011,4,174383.8611,118.6066,117.6003,118.2867,0.8557,0.2705,0.4946,0.947,0.9562,133.073,130.3783,110.3776,108.6239,118.0423,116.1669,77.0333,75.679,10.6443,11.4621,68.9379,67.4503,31958.8333,3.1861,2.2015,-0.6583,4.7293
2012-01-01,2012,1,176970.8435,120.2843,119.0507,119.6334,1.0362,0.5441,0.4946,0.9448,0.9546,135.0476,132.4637,112.0869,109.6509,120.1787,117.5669,76.4333,75.7128,10.613,11.2834,69.0635,67.4014,32031.7667,3.1946,2.4763,-0.6583,5.0125
2012-04-01,2012,2,177978.8285,121.7104,119.7725,120.9871,1.618,0.5978,0.4946,0.9483,0.953,136.4896,134.531,112.4264,109.375,120.8546,117.5743,76.0,75.759,10.8038,11.1576,69.0988,67.3525,32174.2333,3.1617,1.7348,-0.6583,4.2382
2012-07-01,2012,3,177110.3455,122.3861,120.7278,122.3429,1.3736,0.0353,0.4946,0.944,0.9515,138.617,136.6112,112.6708,109.5262,121.4298,118.0407,77.9667,75.8471,10.5565,11.0471,68.3363,67.3036,32318.4333,3.1127,1.3629,-0.6583,3.8173
2012-10-01,2012,4,179354.9826,123.2473,121.6647,123.6964,1.3008,-0.3631,0.4946,0.9429,0.9499,141.0819,138.745,112.2652,109.6156,121.3039,118.441,78.0,76.013,10.5297,10.9389,67.8346,67.2547,32474.7333,3.0761,0.9799,-0.6583,3.3977
2013-01-01,2013,1,181618.7873,124.0525,122.1232,125.043,1.5798,-0.7921,0.4946,0.9503,0.9483,142.0552,140.9429,110.9363,108.8244,120.1757,117.8879,74.1667,76.0684,10.383,10.8351,67.782,67.2059,32542.2667,3.0686,0.1378,-0.6583,2.5481
2013-04-01,2013,2,187529.4877,125.7071,123.805,126.3782,1.5364,-0.531,0.4946,0.9518,0.9468,143.6809,143.1392,111.9931,110.2042,121.6348,119.6919,75.0333,75.9913,10.0125,10.7224,67.7589,67.157,32723.1667,3.0675,0.9022,-0.6583,3.3113
2013-07-01,2013,3,188017.7345,127.5967,125.0117,127.6965,2.0679,-0.0781,0.4946,0.9559,0.9452,145.612,145.3615,112.5774,110.7334,122.5853,120.5774,77.4172,76.0157,9.8042,10.537,68.0609,67.1081,32846.2333,3.0706,1.0747,-0.6583,3.4869
2013-10-01,2013,4,190772.9905,129.5748,126.4825,128.9922,2.4448,0.4517,0.4946,0.958,0.9437,147.763,147.6444,113.6316,111.6873,124.0521,121.9296,77.7698,76.1648,9.4088,10.3483,67.4493,67.0592,32963.3,3.0747,1.4672,-0.6583,3.8836
2014-01-01,2014,1,193660.5985,131.6609,128.3947,130.2595,2.5439,1.0759,0.4946,0.9556,0.9421,150.7943,150.008,115.2365,113.3567,126.1276,124.0701,75.7846,76.2495,9.645,10.1483,67.3487,67.0103,33307.9,3.0829,2.5833,-0.6583,5.0079
2014-04-01,2014,2,193990.1918,132.7802,129.3315,131.4929,2.6666,0.979,0.4946,0.9536,0.9406,153.9144,152.4697,115.0412,113.2582,126.2392,124.2827,76.6532,76.2681,9.3755,10.0088,67.3959,66.9614,33488.8,3.1232,1.9023,-0.6583,4.3671
2014-07-01,2014,3,195956.5612,134.1556,131.2975,132.6879,2.1768,1.1061,0.4946,0.9491,0.939,156.1324,154.9772,116.5742,114.9205,128.2511,126.4318,77.0876,76.3263,9.2439,9.8792,67.5675,66.9125,33587.6333,3.168,2.3963,-0.6583,4.9059
2014-10-01,2014,4,197981.6485,135.4044,132.447,133.8407,2.2329,1.1684,0.4946,0.9504,0.9375,157.9403,157.4396,116.7671,115.2093,128.7936,127.0754,76.6374,76.3675,9.3261,9.7319,67.4183,66.8636,33695.3333,3.1769,2.0893,-0.6583,4.6078
2015-01-01,2015,1,199260.6494,136.3746,133.6882,134.9484,2.0094,1.0568,0.4946,0.9547,0.9359,157.4543,159.7803,117.4354,115.7532,129.8629,128.0026,70.5168,76.2384,8.9857,9.631,67.3157,66.8147,33836.3667,3.1213,1.5771,-0.6583,4.0401
2015-04-01,2015,2,200645.7306,137.5276,134.5594,136.0092,2.2058,1.1164,0.4946,0.9632,0.9344,156.8523,161.9475,117.4796,115.7927,130.2479,128.3776,71.2395,75.9805,9.2758,9.5314,67.4911,66.7658,34004.6333,2.9826,1.6385,-0.6583,3.9627
2015-07-01,2015,3,202671.6638,138.6909,135.3787,137.022,2.4466,1.218,0.4946,0.9702,0.9329,156.875,163.9658,117.4365,115.8587,130.5361,128.7823,72.9244,75.8351,9.2882,9.4364,67.488,66.7169,34111.7333,2.7884,0.931,-0.6583,3.0611
2015-10-01,2015,4,202113.9562,139.4068,136.387,137.9869,2.2142,1.029,0.4946,0.97,0.9313,157.3846,165.8855,118.0073,116.3202,131.5083,129.6281,73.5322,75.8102,9.2085,9.4151,67.6069,66.668,34220.6333,2.5845,1.0053,-0.6583,2.9314
