fecha,anio,trimestre,viog,viog_inv,bhp,cf,bk,bw,kalman
1994-01-01,1994,1,71.9742,0.0,-1.763,-1.9631,,0.0224,75.6333
1994-04-01,1994,2,45.4529,0.1592,-1.0487,-1.6938,,0.3802,48.0507
1994-07-01,1994,3,32.0664,0.5501,-0.0443,-1.0853,,1.0435,33.9303
1994-10-01,1994,4,22.418,-0.0509,-0.6604,-0.362,,0.1099,23.6983
1995-01-01,1995,1,16.3988,0.6328,0.3161,0.2473,,0.7991,17.3292
1995-04-01,1995,2,11.874,0.7328,0.5451,0.5757,,0.7744,12.5903
1995-07-01,1995,3,8.3477,0.287,0.1094,0.6257,,0.121,8.867
1995-10-01,1995,4,6.499,0.8071,0.9521,0.4715,,0.7837,6.92
1996-01-01,1996,1,4.2477,-0.063,-0.0275,0.2,,-0.3379,4.5615
1996-04-01,1996,2,2.9158,-0.3606,-0.2496,-0.1707,,-0.6633,3.1669
1996-07-01,1996,3,1.8925,-0.6512,-0.4773,-0.5621,,-0.9564,2.109
1996-10-01,1996,4,1.0896,-0.8818,-0.7125,-0.763,,-1.2223,1.2798
1997-01-01,1997,1,0.1433,0.3151,-1.4104,-0.473,0.6821,-1.9209,0.2988
1997-04-01,1997,2,1.7139,1.4704,1.616,0.4808,1.7632,1.1269,1.7921
1997-07-01,1997,3,1.8378,2.4375,2.1482,1.8748,3.2177,1.6913,1.7955
1997-10-01,1997,4,2.2271,3.2972,2.8899,3.1057,4.3267,2.4665,2.0336
1998-01-01,1998,1,2.4241,3.5395,3.2697,3.4477,4.4646,2.8746,2.1347
1998-04-01,1998,2,2.3791,3.0544,3.38,2.512,3.3619,3.0059,2.1592
1998-07-01,1998,3,0.7887,0.9522,1.0889,0.5954,1.3771,0.7318,0.7373
1998-10-01,1998,4,-0.9674,-1.3764,-1.4194,-1.5878,-0.8676,-1.7546,-0.8033
1999-01-01,1999,1,-1.7964,-2.6766,-2.4604,-3.087,-2.5422,-2.7581,-1.4284
1999-04-01,1999,2,-2.3525,-3.2697,-3.2089,-3.418,-3.1724,-3.4461,-1.9198
1999-07-01,1999,3,-1.3953,-2.2275,-1.666,-2.6861,-2.8496,-1.8166,-0.9846
1999-10-01,1999,4,-1.3457,-1.7911,-1.7136,-1.6092,-2.1454,-1.7548,-1.1146
2000-01-01,2000,1,-0.5115,-0.727,-0.4218,-0.7009,-1.4679,-0.3368,-0.3998
2000-04-01,2000,2,-0.5223,-0.5081,-0.4434,-0.2182,-1.1342,-0.2246,-0.5325
2000-07-01,2000,3,-0.2392,-0.15,0.1114,-0.0066,-1.1698,0.4627,-0.2837
2000-10-01,2000,4,-0.423,-0.2326,-0.1065,0.1821,-1.3888,0.3666,-0.5161
2001-01-01,2001,1,-0.3435,-0.0721,0.0806,0.4605,-1.5379,0.6573,-0.4705
2001-04-01,2001,2,-0.4966,-0.103,-0.1728,0.7596,-1.5218,0.4826,-0.6929
2001-07-01,2001,3,-0.2099,0.2402,0.2974,0.9475,-1.3456,1.002,-0.4352
2001-10-01,2001,4,-0.0714,0.406,0.5116,0.9981,-1.1694,1.2321,-0.3192
2002-01-01,2002,1,-1.0625,-0.4896,-1.1844,0.9942,-1.1628,-0.482,-1.4201
2002-04-01,2002,2,0.3798,0.7745,1.3256,0.9372,-1.2761,1.9776,0.1927
2002-07-01,2002,3,-0.2504,0.1465,0.2813,0.8847,-1.5235,0.8518,-0.4548
2002-10-01,2002,4,-0.732,-0.3679,-0.5221,0.7365,-1.6946,-0.0588,-0.9265
2003-01-01,2003,1,-0.8743,-0.5724,-0.7494,0.4839,-1.6898,-0.4121,-1.0301
2003-04-01,2003,2,-0.4985,-0.281,-0.0939,0.2215,-1.5385,0.1056,-0.5698
2003-07-01,2003,3,-0.4356,-0.2639,-0.0144,0.0696,-1.3413,0.0418,-0.4765
2003-10-01,2003,4,-0.3672,-0.232,0.0505,0.0457,-1.1786,-0.0356,-0.3851
2004-01-01,2004,1,-0.0094,0.0653,0.6149,0.0429,-1.0652,0.3941,0.0394
2004-04-01,2004,2,-0.7662,-0.724,-0.7636,-0.0821,-1.0037,-1.1054,-0.7719
2004-07-01,2004,3,-0.8696,-0.911,-0.9568,-0.383,-0.9405,-1.3985,-0.8314
2004-10-01,2004,4,0.1659,-0.0387,0.8762,-0.758,-0.9182,0.3603,0.4015
2005-01-01,2005,1,-0.7623,-1.0104,-0.7282,-1.1031,-1.0084,-1.2902,-0.567
2005-04-01,2005,2,-0.2527,-0.5891,0.1669,-1.2863,-1.0881,-0.4098,0.0679
